<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPTBTC,D,20100719,000000,1866607,1866607,1866607,1866607,0,0
XPTBTC,D,20100720,000000,2018723,2018723,2018723,2018723,0,0
XPTBTC,D,20100721,000000,1921231,1921231,1921231,1921231,0,0
XPTBTC,D,20100722,000000,3013875,3013875,3013875,3013875,0,0
XPTBTC,D,20100723,000000,2450308,2450308,2450308,2450308,0,0
XPTBTC,D,20100726,000000,2762300,2762300,2762300,2762300,0,0
XPTBTC,D,20100727,000000,2554474,2554474,2554474,2554474,0,0
XPTBTC,D,20100728,000000,2609108,2609108,2609108,2609108,0,0
XPTBTC,D,20100729,000000,2224428,2224428,2224428,2224428,0,0
XPTBTC,D,20100730,000000,2501248,2501248,2501248,2501248,0,0
XPTBTC,D,20100802,000000,2656181,2656181,2656181,2656181,0,0
XPTBTC,D,20100803,000000,2636840,2636840,2636840,2636840,0,0
XPTBTC,D,20100804,000000,2771858,2771858,2771858,2771858,0,0
XPTBTC,D,20100805,000000,2569379,2569379,2569379,2569379,0,0
XPTBTC,D,20100806,000000,2508808,2508808,2508808,2508808,0,0
XPTBTC,D,20100809,000000,2174324,2174324,2174324,2174324,0,0
XPTBTC,D,20100810,000000,2186689,2186689,2186689,2186689,0,0
XPTBTC,D,20100811,000000,2258471,2258471,2258471,2258471,0,0
XPTBTC,D,20100812,000000,2176800,2176800,2176800,2176800,0,0
XPTBTC,D,20100813,000000,2354087,2354087,2354087,2354087,0,0
XPTBTC,D,20100816,000000,2334813,2334813,2334813,2334813,0,0
XPTBTC,D,20100817,000000,2198983,2198983,2198983,2198983,0,0
XPTBTC,D,20100818,000000,2249723,2249723,2249723,2249723,0,0
XPTBTC,D,20100819,000000,2279301,2279301,2279301,2279301,0,0
XPTBTC,D,20100820,000000,2302755,2302755,2302755,2302755,0,0
XPTBTC,D,20100823,000000,2317817,2317817,2317817,2317817,0,0
XPTBTC,D,20100824,000000,2324185,2324185,2324185,2324185,0,0
XPTBTC,D,20100825,000000,2335484,2335484,2335484,2335484,0,0
XPTBTC,D,20100826,000000,2385969,2385969,2385969,2385969,0,0
XPTBTC,D,20100827,000000,2349745,2349745,2349745,2349745,0,0
XPTBTC,D,20100830,000000,2348506,2348506,2348506,2348506,0,0
XPTBTC,D,20100831,000000,2525298,2525298,2525298,2525298,0,0
XPTBTC,D,20100901,000000,2427472,2427472,2427472,2427472,0,0
XPTBTC,D,20100902,000000,2436053,2436053,2436053,2436053,0,0
XPTBTC,D,20100903,000000,2559546,2559546,2559546,2559546,0,0
XPTBTC,D,20100906,000000,2525979,2525979,2525979,2525979,0,0
XPTBTC,D,20100907,000000,2547606,2547606,2547606,2547606,0,0
XPTBTC,D,20100908,000000,2507183,2507183,2507183,2507183,0,0
XPTBTC,D,20100909,000000,2531913,2531913,2531913,2531913,0,0
XPTBTC,D,20100910,000000,2488740,2488740,2488740,2488740,0,0
