<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPTILS,D,19931025,000000,1069.12,1069.12,1069.12,1069.12,0,0
XPTILS,D,19931026,000000,1068.25,1068.25,1068.25,1068.25,0,0
XPTILS,D,19931027,000000,1075.04,1075.04,1075.04,1075.04,0,0
XPTILS,D,19931028,000000,1070.92,1070.92,1070.92,1070.92,0,0
XPTILS,D,19931029,000000,1070.72,1070.72,1070.72,1070.72,0,0
XPTILS,D,19931102,000000,1061.86,1061.86,1061.86,1061.86,0,0
XPTILS,D,19931103,000000,1078.88,1078.88,1078.88,1078.88,0,0
XPTILS,D,19931104,000000,1081.32,1081.32,1081.32,1081.32,0,0
XPTILS,D,19931105,000000,1092.6,1092.6,1092.6,1092.6,0,0
XPTILS,D,19931108,000000,1087.44,1087.44,1087.44,1087.44,0,0
XPTILS,D,19931109,000000,1092.12,1092.12,1092.12,1092.12,0,0
XPTILS,D,19931110,000000,1095.47,1095.47,1095.47,1095.47,0,0
XPTILS,D,19931112,000000,1088.99,1088.99,1088.99,1088.99,0,0
XPTILS,D,19931115,000000,1094.45,1094.45,1094.45,1094.45,0,0
XPTILS,D,19931116,000000,1090.26,1090.26,1090.26,1090.26,0,0
XPTILS,D,19931117,000000,1092.15,1092.15,1092.15,1092.15,0,0
XPTILS,D,19931118,000000,1092.3,1092.3,1092.3,1092.3,0,0
XPTILS,D,19931119,000000,1100.73,1100.73,1100.73,1100.73,0,0
XPTILS,D,19931122,000000,1104.76,1104.76,1104.76,1104.76,0,0
XPTILS,D,19931123,000000,1086.15,1086.15,1086.15,1086.15,0,0
XPTILS,D,19931124,000000,1090.64,1090.64,1090.64,1090.64,0,0
XPTILS,D,19931125,000000,1087.33,1087.33,1087.33,1087.33,0,0
XPTILS,D,19931126,000000,1089.74,1089.74,1089.74,1089.74,0,0
XPTILS,D,19931129,000000,1065.95,1065.95,1065.95,1065.95,0,0
XPTILS,D,19931130,000000,1071.53,1071.53,1071.53,1071.53,0,0
XPTILS,D,19931201,000000,1093.01,1093.01,1093.01,1093.01,0,0
XPTILS,D,19931202,000000,1094.5,1094.5,1094.5,1094.5,0,0
XPTILS,D,19931203,000000,1090.46,1090.46,1090.46,1090.46,0,0
XPTILS,D,19931206,000000,1098.6,1098.6,1098.6,1098.6,0,0
XPTILS,D,19931207,000000,1098.99,1098.99,1098.99,1098.99,0,0
XPTILS,D,19931208,000000,1114.1,1114.1,1114.1,1114.1,0,0
XPTILS,D,19931209,000000,1107.92,1107.92,1107.92,1107.92,0,0
XPTILS,D,19931210,000000,1108.41,1108.41,1108.41,1108.41,0,0
XPTILS,D,19931213,000000,1131.31,1131.31,1131.31,1131.31,0,0
XPTILS,D,19931214,000000,1133.57,1133.57,1133.57,1133.57,0,0
XPTILS,D,19931215,000000,1132.25,1132.25,1132.25,1132.25,0,0
