<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPTSEK,D,19840109,000000,3026.36,3026.36,3026.36,3026.36,0,0
XPTSEK,D,19840116,000000,3048.61,3048.61,3048.61,3048.61,0,0
XPTSEK,D,19840123,000000,3015.7,3015.7,3015.7,3015.7,0,0
XPTSEK,D,19840130,000000,3129.15,3129.15,3129.15,3129.15,0,0
XPTSEK,D,19840206,000000,3148.07,3148.07,3148.07,3148.07,0,0
XPTSEK,D,19840213,000000,3098.35,3098.35,3098.35,3098.35,0,0
XPTSEK,D,19840220,000000,3064.52,3064.52,3064.52,3064.52,0,0
XPTSEK,D,19840301,000000,3173.63,3173.63,3173.63,3173.63,0,0
XPTSEK,D,19840305,000000,3178.97,3178.97,3178.97,3178.97,0,0
XPTSEK,D,19840312,000000,3036.4,3036.4,3036.4,3036.4,0,0
XPTSEK,D,19840319,000000,3009.99,3009.99,3009.99,3009.99,0,0
XPTSEK,D,19840326,000000,3090.01,3090.01,3090.01,3090.01,0,0
XPTSEK,D,19840402,000000,2992.31,2992.31,2992.31,2992.31,0,0
XPTSEK,D,19840409,000000,3053.39,3053.39,3053.39,3053.39,0,0
XPTSEK,D,19840416,000000,3053.09,3053.09,3053.09,3053.09,0,0
XPTSEK,D,19840424,000000,3179.09,3179.09,3179.09,3179.09,0,0
XPTSEK,D,19840502,000000,3070.67,3070.67,3070.67,3070.67,0,0
XPTSEK,D,19840507,000000,3072.18,3072.18,3072.18,3072.18,0,0
XPTSEK,D,19840514,000000,3130.17,3130.17,3130.17,3130.17,0,0
XPTSEK,D,19840521,000000,3185.78,3185.78,3185.78,3185.78,0,0
XPTSEK,D,19840528,000000,3174.2,3174.2,3174.2,3174.2,0,0
XPTSEK,D,19840604,000000,3198.32,3198.32,3198.32,3198.32,0,0
XPTSEK,D,19840611,000000,3001.52,3001.52,3001.52,3001.52,0,0
XPTSEK,D,19840618,000000,3110.1,3110.1,3110.1,3110.1,0,0
XPTSEK,D,19840625,000000,3054.32,3054.32,3054.32,3054.32,0,0
XPTSEK,D,19840702,000000,3077.74,3077.74,3077.74,3077.74,0,0
XPTSEK,D,19840709,000000,2931.57,2931.57,2931.57,2931.57,0,0
XPTSEK,D,19840716,000000,2892.24,2892.24,2892.24,2892.24,0,0
XPTSEK,D,19840723,000000,2775.45,2775.45,2775.45,2775.45,0,0
XPTSEK,D,19840730,000000,2760.74,2760.74,2760.74,2760.74,0,0
XPTSEK,D,19840806,000000,2812.44,2812.44,2812.44,2812.44,0,0
XPTSEK,D,19840813,000000,2814.53,2814.53,2814.53,2814.53,0,0
XPTSEK,D,19840820,000000,2809.53,2809.53,2809.53,2809.53,0,0
XPTSEK,D,19840827,000000,2835.87,2835.87,2835.87,2835.87,0,0
XPTSEK,D,19840901,000000,2817.95,2817.95,2817.95,2817.95,0,0
XPTSEK,D,19840910,000000,2719.76,2719.76,2719.76,2719.76,0,0
XPTSEK,D,19840917,000000,2686.39,2686.39,2686.39,2686.39,0,0
XPTSEK,D,19840924,000000,2838.25,2838.25,2838.25,2838.25,0,0
XPTSEK,D,19841001,000000,2823.27,2823.27,2823.27,2823.27,0,0
XPTSEK,D,19841008,000000,2768.53,2768.53,2768.53,2768.53,0,0
XPTSEK,D,19841015,000000,2858.03,2858.03,2858.03,2858.03,0,0
XPTSEK,D,19841022,000000,2861.03,2861.03,2861.03,2861.03,0,0
XPTSEK,D,19841029,000000,2756.52,2756.52,2756.52,2756.52,0,0
XPTSEK,D,19841105,000000,2916.52,2916.52,2916.52,2916.52,0,0
XPTSEK,D,19841112,000000,2814.5,2814.5,2814.5,2814.5,0,0
XPTSEK,D,19841119,000000,2724.45,2724.45,2724.45,2724.45,0,0
XPTSEK,D,19841126,000000,2710.63,2710.63,2710.63,2710.63,0,0
XPTSEK,D,19841201,000000,2753.14,2753.14,2753.14,2753.14,0,0
XPTSEK,D,19841210,000000,2745.82,2745.82,2745.82,2745.82,0,0
XPTSEK,D,19841217,000000,2609.62,2609.62,2609.62,2609.62,0,0
XPTSEK,D,19841224,000000,2618.75,2618.75,2618.75,2618.75,0,0
XPTSEK,D,19850101,000000,2642.55,2642.55,2642.55,2642.55,0,0
XPTSEK,D,19850107,000000,2490.08,2490.08,2490.08,2490.08,0,0
