<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPTTHB,D,19930104,000000,99.205,99.205,99.205,99.205,0,0
XPTTHB,D,19930105,000000,100.31,100.31,100.31,100.31,0,0
XPTTHB,D,19930106,000000,100.9,100.9,100.9,100.9,0,0
XPTTHB,D,19930107,000000,100.74,100.74,100.74,100.74,0,0
XPTTHB,D,19930108,000000,100.61,100.61,100.61,100.61,0,0
XPTTHB,D,19930111,000000,100.04,100.04,100.04,100.04,0,0
XPTTHB,D,19930112,000000,100.29,100.29,100.29,100.29,0,0
XPTTHB,D,19930113,000000,100.16,100.16,100.16,100.16,0,0
XPTTHB,D,19930114,000000,100,100,100,100,0,0
XPTTHB,D,19930115,000000,100.16,100.16,100.16,100.16,0,0
XPTTHB,D,19930118,000000,100.36,100.36,100.36,100.36,0,0
XPTTHB,D,19930119,000000,100.52,100.52,100.52,100.52,0,0
XPTTHB,D,19930120,000000,102.17,102.17,102.17,102.17,0,0
XPTTHB,D,19930121,000000,101.63,101.63,101.63,101.63,0,0
XPTTHB,D,19930122,000000,101.81,101.81,101.81,101.81,0,0
XPTTHB,D,19930125,000000,102.07,102.07,102.07,102.07,0,0
XPTTHB,D,19930126,000000,102.33,102.33,102.33,102.33,0,0
XPTTHB,D,19930127,000000,101.67,101.67,101.67,101.67,0,0
XPTTHB,D,19930128,000000,101.92,101.92,101.92,101.92,0,0
XPTTHB,D,19930129,000000,101.89,101.89,101.89,101.89,0,0
XPTTHB,D,19930201,000000,101.9,101.9,101.9,101.9,0,0
XPTTHB,D,19930202,000000,101.45,101.45,101.45,101.45,0,0
XPTTHB,D,19930203,000000,101.38,101.38,101.38,101.38,0,0
XPTTHB,D,19930204,000000,101.65,101.65,101.65,101.65,0,0
XPTTHB,D,19930205,000000,101.96,101.96,101.96,101.96,0,0
XPTTHB,D,19930208,000000,101.97,101.97,101.97,101.97,0,0
XPTTHB,D,19930209,000000,103.67,103.67,103.67,103.67,0,0
XPTTHB,D,19930210,000000,104.31,104.31,104.31,104.31,0,0
XPTTHB,D,19930211,000000,104.58,104.58,104.58,104.58,0,0
XPTTHB,D,19930212,000000,103.64,103.64,103.64,103.64,0,0
XPTTHB,D,19930216,000000,104.34,104.34,104.34,104.34,0,0
XPTTHB,D,19930217,000000,102.77,102.77,102.77,102.77,0,0
XPTTHB,D,19930218,000000,102.02,102.02,102.02,102.02,0,0
XPTTHB,D,19930219,000000,100.19,100.19,100.19,100.19,0,0
XPTTHB,D,19930222,000000,94.713,94.713,94.713,94.713,0,0
XPTTHB,D,19930223,000000,96.867,96.867,96.867,96.867,0,0
XPTTHB,D,19930224,000000,96.024,96.024,96.024,96.024,0,0
XPTTHB,D,19930225,000000,96.726,96.726,96.726,96.726,0,0
XPTTHB,D,19930226,000000,96.902,96.902,96.902,96.902,0,0
XPTTHB,D,19930302,000000,95.683,95.683,95.683,95.683,0,0
XPTTHB,D,19930303,000000,95.631,95.631,95.631,95.631,0,0
XPTTHB,D,19930304,000000,95.494,95.494,95.494,95.494,0,0
XPTTHB,D,19930305,000000,96.073,96.073,96.073,96.073,0,0
XPTTHB,D,19930308,000000,96.078,96.078,96.078,96.078,0,0
XPTTHB,D,19930309,000000,96.558,96.558,96.558,96.558,0,0
XPTTHB,D,19930310,000000,97.026,97.026,97.026,97.026,0,0
XPTTHB,D,19930311,000000,98.006,98.006,98.006,98.006,0,0
XPTTHB,D,19930312,000000,98.726,98.726,98.726,98.726,0,0
XPTTHB,D,19930315,000000,99.199,99.199,99.199,99.199,0,0
XPTTHB,D,19930316,000000,97.842,97.842,97.842,97.842,0,0
XPTTHB,D,19930317,000000,97.567,97.567,97.567,97.567,0,0
XPTTHB,D,19930318,000000,98.046,98.046,98.046,98.046,0,0
XPTTHB,D,19930319,000000,99.153,99.153,99.153,99.153,0,0
XPTTHB,D,19930322,000000,99.56,99.56,99.56,99.56,0,0
XPTTHB,D,19930323,000000,99.98,99.98,99.98,99.98,0,0
XPTTHB,D,19930324,000000,100.05,100.05,100.05,100.05,0,0
XPTTHB,D,19930325,000000,99.59,99.59,99.59,99.59,0,0
XPTTHB,D,19930326,000000,99.52,99.52,99.52,99.52,0,0
XPTTHB,D,19930329,000000,99.9,99.9,99.9,99.9,0,0
XPTTHB,D,19930330,000000,101.4,101.4,101.4,101.4,0,0
