<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPTUAH,D,19960902,000000,6.933,6.933,6.933,6.933,0,0
XPTUAH,D,19960903,000000,6.926,6.926,6.926,6.926,0,0
XPTUAH,D,19960904,000000,6.899,6.899,6.899,6.899,0,0
XPTUAH,D,19960905,000000,6.883,6.883,6.883,6.883,0,0
XPTUAH,D,19960906,000000,6.876,6.876,6.876,6.876,0,0
XPTUAH,D,19960909,000000,6.871,6.871,6.871,6.871,0,0
XPTUAH,D,19960910,000000,6.875,6.875,6.875,6.875,0,0
XPTUAH,D,19960911,000000,6.829,6.829,6.829,6.829,0,0
XPTUAH,D,19960912,000000,6.806,6.806,6.806,6.806,0,0
XPTUAH,D,19960913,000000,6.787,6.787,6.787,6.787,0,0
XPTUAH,D,19960916,000000,6.769,6.769,6.769,6.769,0,0
XPTUAH,D,19960917,000000,6.79,6.79,6.79,6.79,0,0
XPTUAH,D,19960918,000000,6.816,6.816,6.816,6.816,0,0
XPTUAH,D,19960919,000000,6.783,6.783,6.783,6.783,0,0
XPTUAH,D,19960920,000000,6.744,6.744,6.744,6.744,0,0
XPTUAH,D,19960923,000000,6.787,6.787,6.787,6.787,0,0
XPTUAH,D,19960924,000000,6.809,6.809,6.809,6.809,0,0
XPTUAH,D,19960925,000000,6.811,6.811,6.811,6.811,0,0
XPTUAH,D,19960926,000000,6.774,6.774,6.774,6.774,0,0
XPTUAH,D,19960927,000000,6.741,6.741,6.741,6.741,0,0
XPTUAH,D,19960930,000000,6.714,6.714,6.714,6.714,0,0
XPTUAH,D,19961001,000000,6.727,6.727,6.727,6.727,0,0
XPTUAH,D,19961002,000000,6.744,6.744,6.744,6.744,0,0
XPTUAH,D,19961003,000000,6.73,6.73,6.73,6.73,0,0
XPTUAH,D,19961004,000000,6.739,6.739,6.739,6.739,0,0
XPTUAH,D,19961007,000000,6.75,6.75,6.75,6.75,0,0
XPTUAH,D,19961008,000000,6.784,6.784,6.784,6.784,0,0
XPTUAH,D,19961009,000000,6.797,6.797,6.797,6.797,0,0
XPTUAH,D,19961010,000000,6.86,6.86,6.86,6.86,0,0
XPTUAH,D,19961011,000000,6.841,6.841,6.841,6.841,0,0
