<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPTXAG,D,19840109,000000,46.66,46.66,46.66,46.66,0,0
XPTXAG,D,19840116,000000,45.627,45.627,45.627,45.627,0,0
XPTXAG,D,19840123,000000,45.504,45.504,45.504,45.504,0,0
XPTXAG,D,19840130,000000,45.533,45.533,45.533,45.533,0,0
XPTXAG,D,19840206,000000,43.745,43.745,43.745,43.745,0,0
XPTXAG,D,19840213,000000,43.362,43.362,43.362,43.362,0,0
XPTXAG,D,19840220,000000,43.365,43.365,43.365,43.365,0,0
XPTXAG,D,19840301,000000,40.703,40.703,40.703,40.703,0,0
XPTXAG,D,19840305,000000,40.019,40.019,40.019,40.019,0,0
XPTXAG,D,19840312,000000,40.396,40.396,40.396,40.396,0,0
XPTXAG,D,19840319,000000,40.742,40.742,40.742,40.742,0,0
XPTXAG,D,19840326,000000,41.446,41.446,41.446,41.446,0,0
XPTXAG,D,19840402,000000,41.383,41.383,41.383,41.383,0,0
XPTXAG,D,19840409,000000,42.395,42.395,42.395,42.395,0,0
XPTXAG,D,19840416,000000,42.638,42.638,42.638,42.638,0,0
XPTXAG,D,19840424,000000,43.679,43.679,43.679,43.679,0,0
XPTXAG,D,19840502,000000,42.115,42.115,42.115,42.115,0,0
XPTXAG,D,19840507,000000,43.712,43.712,43.712,43.712,0,0
XPTXAG,D,19840514,000000,43.179,43.179,43.179,43.179,0,0
XPTXAG,D,19840521,000000,42.739,42.739,42.739,42.739,0,0
XPTXAG,D,19840528,000000,42.739,42.739,42.739,42.739,0,0
XPTXAG,D,19840604,000000,41.805,41.805,41.805,41.805,0,0
XPTXAG,D,19840611,000000,43.445,43.445,43.445,43.445,0,0
XPTXAG,D,19840618,000000,44.579,44.579,44.579,44.579,0,0
XPTXAG,D,19840625,000000,45.111,45.111,45.111,45.111,0,0
XPTXAG,D,19840702,000000,44.26,44.26,44.26,44.26,0,0
XPTXAG,D,19840709,000000,45.821,45.821,45.821,45.821,0,0
XPTXAG,D,19840716,000000,46.211,46.211,46.211,46.211,0,0
XPTXAG,D,19840723,000000,45.97,45.97,45.97,45.97,0,0
