<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPTXPD,D,19840109,000000,2.6092,2.6092,2.6092,2.6092,0,0
XPTXPD,D,19840116,000000,2.4191,2.4191,2.4191,2.4191,0,0
XPTXPD,D,19840123,000000,2.4325,2.4325,2.4325,2.4325,0,0
XPTXPD,D,19840130,000000,2.4281,2.4281,2.4281,2.4281,0,0
XPTXPD,D,19840206,000000,2.4658,2.4658,2.4658,2.4658,0,0
XPTXPD,D,19840213,000000,2.4248,2.4248,2.4248,2.4248,0,0
XPTXPD,D,19840220,000000,2.4248,2.4248,2.4248,2.4248,0,0
XPTXPD,D,19840301,000000,2.5417,2.5417,2.5417,2.5417,0,0
XPTXPD,D,19840305,000000,2.5145,2.5145,2.5145,2.5145,0,0
XPTXPD,D,19840312,000000,2.4872,2.4872,2.4872,2.4872,0,0
XPTXPD,D,19840319,000000,2.4981,2.4981,2.4981,2.4981,0,0
XPTXPD,D,19840326,000000,2.4511,2.4511,2.4511,2.4511,0,0
XPTXPD,D,19840402,000000,2.4558,2.4558,2.4558,2.4558,0,0
XPTXPD,D,19840409,000000,2.4762,2.4762,2.4762,2.4762,0,0
XPTXPD,D,19840416,000000,2.476,2.476,2.476,2.476,0,0
XPTXPD,D,19840424,000000,2.4584,2.4584,2.4584,2.4584,0,0
XPTXPD,D,19840502,000000,2.4607,2.4607,2.4607,2.4607,0,0
XPTXPD,D,19840507,000000,2.5115,2.5115,2.5115,2.5115,0,0
XPTXPD,D,19840514,000000,2.5205,2.5205,2.5205,2.5205,0,0
XPTXPD,D,19840521,000000,2.5417,2.5417,2.5417,2.5417,0,0
XPTXPD,D,19840528,000000,2.5417,2.5417,2.5417,2.5417,0,0
XPTXPD,D,19840604,000000,2.5509,2.5509,2.5509,2.5509,0,0
XPTXPD,D,19840611,000000,2.5292,2.5292,2.5292,2.5292,0,0
XPTXPD,D,19840618,000000,2.541,2.541,2.541,2.541,0,0
XPTXPD,D,19840625,000000,2.5436,2.5436,2.5436,2.5436,0,0
XPTXPD,D,19840702,000000,2.5356,2.5356,2.5356,2.5356,0,0
XPTXPD,D,19840709,000000,2.5871,2.5871,2.5871,2.5871,0,0
XPTXPD,D,19840716,000000,2.5505,2.5505,2.5505,2.5505,0,0
XPTXPD,D,19840723,000000,2.6203,2.6203,2.6203,2.6203,0,0
XPTXPD,D,19840730,000000,2.6109,2.6109,2.6109,2.6109,0,0
XPTXPD,D,19840806,000000,2.5093,2.5093,2.5093,2.5093,0,0
XPTXPD,D,19840813,000000,2.4981,2.4981,2.4981,2.4981,0,0
XPTXPD,D,19840820,000000,2.5602,2.5602,2.5602,2.5602,0,0
XPTXPD,D,19840827,000000,2.5705,2.5705,2.5705,2.5705,0,0
XPTXPD,D,19840901,000000,2.5705,2.5705,2.5705,2.5705,0,0
XPTXPD,D,19840910,000000,2.4661,2.4661,2.4661,2.4661,0,0
XPTXPD,D,19840917,000000,2.4338,2.4338,2.4338,2.4338,0,0
XPTXPD,D,19840924,000000,2.3996,2.3996,2.3996,2.3996,0,0
XPTXPD,D,19841001,000000,2.3943,2.3943,2.3943,2.3943,0,0
XPTXPD,D,19841008,000000,2.3868,2.3868,2.3868,2.3868,0,0
XPTXPD,D,19841015,000000,2.3713,2.3713,2.3713,2.3713,0,0
XPTXPD,D,19841022,000000,2.3507,2.3507,2.3507,2.3507,0,0
XPTXPD,D,19841029,000000,2.3021,2.3021,2.3021,2.3021,0,0
XPTXPD,D,19841105,000000,2.2495,2.2495,2.2495,2.2495,0,0
XPTXPD,D,19841112,000000,2.3236,2.3236,2.3236,2.3236,0,0
XPTXPD,D,19841119,000000,2.254,2.254,2.254,2.254,0,0
XPTXPD,D,19841126,000000,2.2716,2.2716,2.2716,2.2716,0,0
XPTXPD,D,19841201,000000,2.2716,2.2716,2.2716,2.2716,0,0
XPTXPD,D,19841210,000000,2.2944,2.2944,2.2944,2.2944,0,0
XPTXPD,D,19841217,000000,2.3386,2.3386,2.3386,2.3386,0,0
XPTXPD,D,19841224,000000,2.3386,2.3386,2.3386,2.3386,0,0
XPTXPD,D,19850101,000000,2.3386,2.3386,2.3386,2.3386,0,0
XPTXPD,D,19850107,000000,2.4996,2.4996,2.4996,2.4996,0,0
XPTXPD,D,19850114,000000,2.3394,2.3394,2.3394,2.3394,0,0
XPTXPD,D,19850121,000000,2.2697,2.2697,2.2697,2.2697,0,0
XPTXPD,D,19850128,000000,2.2021,2.2021,2.2021,2.2021,0,0
XPTXPD,D,19850204,000000,2.2364,2.2364,2.2364,2.2364,0,0
XPTXPD,D,19850211,000000,2.1345,2.1345,2.1345,2.1345,0,0
XPTXPD,D,19850218,000000,2.1345,2.1345,2.1345,2.1345,0,0
XPTXPD,D,19850225,000000,2.2312,2.2312,2.2312,2.2312,0,0
XPTXPD,D,19850304,000000,2.2838,2.2838,2.2838,2.2838,0,0
XPTXPD,D,19850311,000000,2.2031,2.2031,2.2031,2.2031,0,0
XPTXPD,D,19850318,000000,2.2908,2.2908,2.2908,2.2908,0,0
XPTXPD,D,19850325,000000,2.3759,2.3759,2.3759,2.3759,0,0
XPTXPD,D,19850329,000000,2.4326,2.4326,2.4326,2.4326,0,0
XPTXPD,D,19850401,000000,2.4208,2.4208,2.4208,2.4208,0,0
XPTXPD,D,19850409,000000,2.5224,2.5224,2.5224,2.5224,0,0
XPTXPD,D,19850415,000000,2.5864,2.5864,2.5864,2.5864,0,0
XPTXPD,D,19850422,000000,2.5856,2.5856,2.5856,2.5856,0,0
XPTXPD,D,19850429,000000,2.5115,2.5115,2.5115,2.5115,0,0
XPTXPD,D,19850506,000000,2.3415,2.3415,2.3415,2.3415,0,0
XPTXPD,D,19850513,000000,2.4947,2.4947,2.4947,2.4947,0,0
XPTXPD,D,19850520,000000,2.4939,2.4939,2.4939,2.4939,0,0
