<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZARGBP,D,19840109,000000,55.54,55.54,55.54,55.54,0,0
ZARGBP,D,19840116,000000,57.207,57.207,57.207,57.207,0,0
ZARGBP,D,19840123,000000,56.358,56.358,56.358,56.358,0,0
ZARGBP,D,19840130,000000,56.181,56.181,56.181,56.181,0,0
ZARGBP,D,19840206,000000,57.116,57.116,57.116,57.116,0,0
ZARGBP,D,19840213,000000,57.129,57.129,57.129,57.129,0,0
ZARGBP,D,19840220,000000,56.856,56.856,56.856,56.856,0,0
ZARGBP,D,19840301,000000,57.173,57.173,57.173,57.173,0,0
ZARGBP,D,19840305,000000,56.392,56.392,56.392,56.392,0,0
ZARGBP,D,19840312,000000,55.421,55.421,55.421,55.421,0,0
ZARGBP,D,19840319,000000,54.541,54.541,54.541,54.541,0,0
ZARGBP,D,19840326,000000,56.017,56.017,56.017,56.017,0,0
ZARGBP,D,19840402,000000,55.566,55.566,55.566,55.566,0,0
ZARGBP,D,19840409,000000,55.847,55.847,55.847,55.847,0,0
ZARGBP,D,19840416,000000,55.964,55.964,55.964,55.964,0,0
ZARGBP,D,19840424,000000,56.329,56.329,56.329,56.329,0,0
ZARGBP,D,19840502,000000,56.324,56.324,56.324,56.324,0,0
ZARGBP,D,19840507,000000,56.746,56.746,56.746,56.746,0,0
ZARGBP,D,19840514,000000,55.365,55.365,55.365,55.365,0,0
ZARGBP,D,19840521,000000,56.251,56.251,56.251,56.251,0,0
ZARGBP,D,19840528,000000,56.069,56.069,56.069,56.069,0,0
ZARGBP,D,19840604,000000,57.087,57.087,57.087,57.087,0,0
ZARGBP,D,19840611,000000,55.264,55.264,55.264,55.264,0,0
ZARGBP,D,19840618,000000,55.248,55.248,55.248,55.248,0,0
ZARGBP,D,19840625,000000,53.768,53.768,53.768,53.768,0,0
ZARGBP,D,19840702,000000,54.185,54.185,54.185,54.185,0,0
ZARGBP,D,19840709,000000,50.307,50.307,50.307,50.307,0,0
ZARGBP,D,19840716,000000,51.855,51.855,51.855,51.855,0,0
ZARGBP,D,19840723,000000,49.242,49.242,49.242,49.242,0,0
ZARGBP,D,19840730,000000,46.534,46.534,46.534,46.534,0,0
ZARGBP,D,19840806,000000,48.787,48.787,48.787,48.787,0,0
ZARGBP,D,19840813,000000,47.398,47.398,47.398,47.398,0,0
ZARGBP,D,19840820,000000,49.174,49.174,49.174,49.174,0,0
ZARGBP,D,19840827,000000,48.766,48.766,48.766,48.766,0,0
ZARGBP,D,19840901,000000,49.153,49.153,49.153,49.153,0,0
ZARGBP,D,19840910,000000,46.677,46.677,46.677,46.677,0,0
ZARGBP,D,19840917,000000,46.683,46.683,46.683,46.683,0,0
ZARGBP,D,19840924,000000,48.951,48.951,48.951,48.951,0,0
ZARGBP,D,19841001,000000,48.179,48.179,48.179,48.179,0,0
ZARGBP,D,19841008,000000,47.827,47.827,47.827,47.827,0,0
ZARGBP,D,19841015,000000,45.675,45.675,45.675,45.675,0,0
ZARGBP,D,19841022,000000,46.406,46.406,46.406,46.406,0,0
ZARGBP,D,19841029,000000,42.847,42.847,42.847,42.847,0,0
ZARGBP,D,19841105,000000,45.933,45.933,45.933,45.933,0,0
ZARGBP,D,19841112,000000,43.647,43.647,43.647,43.647,0,0
ZARGBP,D,19841119,000000,43.63,43.63,43.63,43.63,0,0
ZARGBP,D,19841126,000000,44.011,44.011,44.011,44.011,0,0
ZARGBP,D,19841201,000000,45.662,45.662,45.662,45.662,0,0
ZARGBP,D,19841210,000000,45.56,45.56,45.56,45.56,0,0
ZARGBP,D,19841217,000000,43.484,43.484,43.484,43.484,0,0
ZARGBP,D,19841224,000000,42.927,42.927,42.927,42.927,0,0
ZARGBP,D,19850101,000000,43.629,43.629,43.629,43.629,0,0
ZARGBP,D,19850107,000000,41.419,41.419,41.419,41.419,0,0
ZARGBP,D,19850114,000000,38.236,38.236,38.236,38.236,0,0
ZARGBP,D,19850121,000000,39.523,39.523,39.523,39.523,0,0
ZARGBP,D,19850128,000000,41.822,41.822,41.822,41.822,0,0
ZARGBP,D,19850204,000000,44.122,44.122,44.122,44.122,0,0
ZARGBP,D,19850211,000000,47.665,47.665,47.665,47.665,0,0
ZARGBP,D,19850218,000000,48.431,48.431,48.431,48.431,0,0
ZARGBP,D,19850225,000000,42.232,42.232,42.232,42.232,0,0
ZARGBP,D,19850304,000000,44.722,44.722,44.722,44.722,0,0
ZARGBP,D,19850311,000000,47.499,47.499,47.499,47.499,0,0
ZARGBP,D,19850318,000000,46.272,46.272,46.272,46.272,0,0
ZARGBP,D,19850325,000000,44.706,44.706,44.706,44.706,0,0
ZARGBP,D,19850329,000000,43.765,43.765,43.765,43.765,0,0
