<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZARNZD,D,19840109,000000,1.2118,1.2118,1.2118,1.2118,0,0
ZARNZD,D,19840116,000000,1.2333,1.2333,1.2333,1.2333,0,0
ZARNZD,D,19840123,000000,1.2336,1.2336,1.2336,1.2336,0,0
ZARNZD,D,19840130,000000,1.2115,1.2115,1.2115,1.2115,0,0
ZARNZD,D,19840206,000000,1.2269,1.2269,1.2269,1.2269,0,0
ZARNZD,D,19840213,000000,1.2269,1.2269,1.2269,1.2269,0,0
ZARNZD,D,19840220,000000,1.2278,1.2278,1.2278,1.2278,0,0
ZARNZD,D,19840301,000000,1.249,1.249,1.249,1.249,0,0
ZARNZD,D,19840305,000000,1.2659,1.2659,1.2659,1.2659,0,0
ZARNZD,D,19840312,000000,1.2372,1.2372,1.2372,1.2372,0,0
ZARNZD,D,19840319,000000,1.2111,1.2111,1.2111,1.2111,0,0
ZARNZD,D,19840326,000000,1.2163,1.2163,1.2163,1.2163,0,0
ZARNZD,D,19840402,000000,1.2113,1.2113,1.2113,1.2113,0,0
ZARNZD,D,19840409,000000,1.2145,1.2145,1.2145,1.2145,0,0
ZARNZD,D,19840416,000000,1.2204,1.2204,1.2204,1.2204,0,0
ZARNZD,D,19840424,000000,1.2161,1.2161,1.2161,1.2161,0,0
ZARNZD,D,19840502,000000,1.2136,1.2136,1.2136,1.2136,0,0
ZARNZD,D,19840507,000000,1.2175,1.2175,1.2175,1.2175,0,0
ZARNZD,D,19840514,000000,1.1936,1.1936,1.1936,1.1936,0,0
ZARNZD,D,19840521,000000,1.2075,1.2075,1.2075,1.2075,0,0
ZARNZD,D,19840528,000000,1.2075,1.2075,1.2075,1.2075,0,0
ZARNZD,D,19840604,000000,1.2116,1.2116,1.2116,1.2116,0,0
ZARNZD,D,19840611,000000,1.1966,1.1966,1.1966,1.1966,0,0
ZARNZD,D,19840618,000000,1.1896,1.1896,1.1896,1.1896,0,0
ZARNZD,D,19840625,000000,1.1755,1.1755,1.1755,1.1755,0,0
ZARNZD,D,19840702,000000,1.1568,1.1568,1.1568,1.1568,0,0
ZARNZD,D,19840709,000000,1.0879,1.0879,1.0879,1.0879,0,0
ZARNZD,D,19840716,000000,1.0994,1.0994,1.0994,1.0994,0,0
ZARNZD,D,19840723,000000,1.3154,1.3154,1.3154,1.3154,0,0
ZARNZD,D,19840730,000000,1.2415,1.2415,1.2415,1.2415,0,0
ZARNZD,D,19840806,000000,1.2801,1.2801,1.2801,1.2801,0,0
ZARNZD,D,19840813,000000,1.2545,1.2545,1.2545,1.2545,0,0
ZARNZD,D,19840820,000000,1.2933,1.2933,1.2933,1.2933,0,0
ZARNZD,D,19840827,000000,1.2809,1.2809,1.2809,1.2809,0,0
ZARNZD,D,19840901,000000,1.2808,1.2808,1.2808,1.2808,0,0
ZARNZD,D,19840910,000000,1.2282,1.2282,1.2282,1.2282,0,0
ZARNZD,D,19840917,000000,1.22,1.22,1.22,1.22,0,0
ZARNZD,D,19840924,000000,1.2285,1.2285,1.2285,1.2285,0,0
ZARNZD,D,19841001,000000,1.2215,1.2215,1.2215,1.2215,0,0
ZARNZD,D,19841008,000000,1.2217,1.2217,1.2217,1.2217,0,0
ZARNZD,D,19841015,000000,1.1645,1.1645,1.1645,1.1645,0,0
