<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^AOR,D,18750101,000000,5.06,5.06,5.06,5.06,0,0
^AOR,D,18750201,000000,5.06,5.06,4.75,4.75,0,0
^AOR,D,18750301,000000,4.75,4.82,4.75,4.82,0,0
^AOR,D,18750401,000000,4.82,4.82,4.71,4.71,0,0
^AOR,D,18750501,000000,4.71,5.01,4.71,5.01,0,0
^AOR,D,18750601,000000,5.01,5.11,5.01,5.11,0,0
^AOR,D,18750701,000000,5.11,5.11,4.79,4.79,0,0
^AOR,D,18750801,000000,4.79,4.79,4.57,4.57,0,0
^AOR,D,18750901,000000,4.57,5.32,4.57,5.32,0,0
^AOR,D,18751001,000000,5.32,5.32,4.3,4.3,0,0
^AOR,D,18751101,000000,4.3,4.3,4.28,4.28,0,0
^AOR,D,18751201,000000,4.28,4.3,4.28,4.3,0,0
^AOR,D,18760101,000000,4.3,4.3,3.76,3.76,0,0
^AOR,D,18760201,000000,3.76,4.68,3.76,4.68,0,0
^AOR,D,18760301,000000,4.68,4.68,4.68,4.68,0,0
^AOR,D,18760401,000000,4.68,4.68,4.6,4.6,0,0
^AOR,D,18760501,000000,4.6,4.6,4.46,4.46,0,0
^AOR,D,18760601,000000,4.46,4.46,4.32,4.32,0,0
^AOR,D,18760701,000000,4.32,4.87,4.32,4.87,0,0
^AOR,D,18760801,000000,4.87,4.87,4.76,4.76,0,0
^AOR,D,18760901,000000,4.76,4.76,4.76,4.76,0,0
^AOR,D,18761001,000000,4.76,4.76,4.62,4.62,0,0
^AOR,D,18761101,000000,4.62,4.93,4.62,4.93,0,0
^AOR,D,18761201,000000,4.93,4.93,4.87,4.87,0,0
^AOR,D,18770101,000000,4.87,4.93,4.87,4.93,0,0
^AOR,D,18770201,000000,4.93,4.93,4.82,4.82,0,0
^AOR,D,18770301,000000,4.82,4.89,4.82,4.89,0,0
^AOR,D,18770401,000000,4.89,4.89,4.84,4.84,0,0
^AOR,D,18770501,000000,4.84,4.87,4.84,4.87,0,0
^AOR,D,18770601,000000,4.87,4.96,4.87,4.96,0,0
^AOR,D,18770701,000000,4.96,5.04,4.96,5.04,0,0
^AOR,D,18770801,000000,5.04,5.04,4.87,4.87,0,0
^AOR,D,18770901,000000,4.87,4.94,4.87,4.94,0,0
^AOR,D,18771001,000000,4.94,5.01,4.94,5.01,0,0
^AOR,D,18771101,000000,5.01,5.01,5,5,0,0
^AOR,D,18771201,000000,5,5.1,5,5.1,0,0
