<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^CAC,D,19650108,000000,274.47,274.47,274.47,274.47,0,0
^CAC,D,19650115,000000,278.82,278.82,278.82,278.82,0,0
^CAC,D,19650122,000000,274.67,274.67,274.67,274.67,0,0
^CAC,D,19650129,000000,274.99,274.99,274.99,274.99,0,0
^CAC,D,19650205,000000,269.26,269.26,269.26,269.26,0,0
^CAC,D,19650212,000000,262.14,262.14,262.14,262.14,0,0
^CAC,D,19650216,000000,265.87,265.87,265.87,265.87,0,0
^CAC,D,19650219,000000,258.46,258.46,258.46,258.46,0,0
^CAC,D,19650305,000000,259.22,259.22,259.22,259.22,0,0
^CAC,D,19650312,000000,263.59,263.59,263.59,263.59,0,0
^CAC,D,19650319,000000,261.43,261.43,261.43,261.43,0,0
^CAC,D,19650326,000000,278.58,278.58,278.58,278.58,0,0
^CAC,D,19650402,000000,279.65,279.65,279.65,279.65,0,0
^CAC,D,19650409,000000,277.54,277.54,277.54,277.54,0,0
^CAC,D,19650414,000000,277.06,277.06,277.06,277.06,0,0
^CAC,D,19650423,000000,276.83,276.83,276.83,276.83,0,0
^CAC,D,19650430,000000,272.22,272.22,272.22,272.22,0,0
^CAC,D,19650507,000000,270.39,270.39,270.39,270.39,0,0
^CAC,D,19650514,000000,273.94,273.94,273.94,273.94,0,0
^CAC,D,19650521,000000,272.56,272.56,272.56,272.56,0,0
^CAC,D,19650528,000000,268.35,268.35,268.35,268.35,0,0
^CAC,D,19650604,000000,261.84,261.84,261.84,261.84,0,0
^CAC,D,19650611,000000,257.79,257.79,257.79,257.79,0,0
^CAC,D,19650618,000000,259.94,259.94,259.94,259.94,0,0
^CAC,D,19650625,000000,258.56,258.56,258.56,258.56,0,0
^CAC,D,19650702,000000,255.66,255.66,255.66,255.66,0,0
^CAC,D,19650709,000000,249.35,249.35,249.35,249.35,0,0
^CAC,D,19650716,000000,247.88,247.88,247.88,247.88,0,0
^CAC,D,19650723,000000,246.1,246.1,246.1,246.1,0,0
^CAC,D,19650730,000000,250.17,250.17,250.17,250.17,0,0
^CAC,D,19650806,000000,261.88,261.88,261.88,261.88,0,0
^CAC,D,19650813,000000,259.1,259.1,259.1,259.1,0,0
^CAC,D,19650820,000000,259.69,259.69,259.69,259.69,0,0
^CAC,D,19650827,000000,259.46,259.46,259.46,259.46,0,0
^CAC,D,19650903,000000,261.02,261.02,261.02,261.02,0,0
^CAC,D,19650910,000000,257.75,257.75,257.75,257.75,0,0
^CAC,D,19650917,000000,255.7,255.7,255.7,255.7,0,0
^CAC,D,19650924,000000,258.69,258.69,258.69,258.69,0,0
