<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^CRY,D,19940103,000000,113.94,113.94,113.94,113.94,0,0
^CRY,D,19940104,000000,114.17,114.17,114.17,114.17,0,0
^CRY,D,19940105,000000,116.27,116.27,116.27,116.27,0,0
^CRY,D,19940106,000000,116.51,116.51,116.51,116.51,0,0
^CRY,D,19940107,000000,116.3,116.3,116.3,116.3,0,0
^CRY,D,19940110,000000,114.86,114.86,114.86,114.86,0,0
^CRY,D,19940111,000000,115.73,115.73,115.73,115.73,0,0
^CRY,D,19940112,000000,114.94,114.94,114.94,114.94,0,0
^CRY,D,19940113,000000,115.76,115.76,115.76,115.76,0,0
^CRY,D,19940114,000000,117.19,117.19,117.19,117.19,0,0
^CRY,D,19940117,000000,117.5,117.5,117.5,117.5,0,0
^CRY,D,19940118,000000,116.85,116.85,116.85,116.85,0,0
^CRY,D,19940119,000000,116.54,116.54,116.54,116.54,0,0
^CRY,D,19940120,000000,116.03,116.03,116.03,116.03,0,0
^CRY,D,19940121,000000,116.21,116.21,116.21,116.21,0,0
^CRY,D,19940124,000000,117.37,117.37,117.37,117.37,0,0
^CRY,D,19940125,000000,117.32,117.32,117.32,117.32,0,0
^CRY,D,19940126,000000,118.67,118.67,118.67,118.67,0,0
^CRY,D,19940127,000000,118.64,118.64,118.64,118.64,0,0
^CRY,D,19940128,000000,118.72,118.72,118.72,118.72,0,0
^CRY,D,19940131,000000,118.52,118.52,118.52,118.52,0,0
^CRY,D,19940201,000000,120.8,120.8,120.8,120.8,0,0
^CRY,D,19940202,000000,121.32,121.32,121.32,121.32,0,0
^CRY,D,19940203,000000,120.97,120.97,120.97,120.97,0,0
^CRY,D,19940204,000000,120.22,120.22,120.22,120.22,0,0
^CRY,D,19940207,000000,119.2,119.2,119.2,119.2,0,0
^CRY,D,19940208,000000,119.53,119.53,119.53,119.53,0,0
^CRY,D,19940209,000000,118.33,118.33,118.33,118.33,0,0
^CRY,D,19940210,000000,118.14,118.14,118.14,118.14,0,0
^CRY,D,19940211,000000,118.32,118.32,118.32,118.32,0,0
^CRY,D,19940214,000000,116.99,116.99,116.99,116.99,0,0
^CRY,D,19940215,000000,116.82,116.82,116.82,116.82,0,0
^CRY,D,19940216,000000,116.75,116.75,116.75,116.75,0,0
^CRY,D,19940217,000000,117.3,117.3,117.3,117.3,0,0
^CRY,D,19940218,000000,117.51,117.51,117.51,117.51,0,0
^CRY,D,19940222,000000,118.05,118.05,118.05,118.05,0,0
^CRY,D,19940223,000000,117.96,117.96,117.96,117.96,0,0
^CRY,D,19940224,000000,119.06,119.06,119.06,119.06,0,0
^CRY,D,19940225,000000,118.56,118.56,118.56,118.56,0,0
^CRY,D,19940228,000000,118.03,118.03,118.03,118.03,0,0
^CRY,D,19940301,000000,118.28,118.28,118.28,118.28,0,0
^CRY,D,19940302,000000,118.04,118.04,118.04,118.04,0,0
^CRY,D,19940303,000000,117.66,117.66,117.66,117.66,0,0
^CRY,D,19940304,000000,118.11,118.11,118.11,118.11,0,0
^CRY,D,19940307,000000,116.93,116.93,116.93,116.93,0,0
^CRY,D,19940308,000000,116.72,116.72,116.72,116.72,0,0
^CRY,D,19940309,000000,116.97,116.97,116.97,116.97,0,0
^CRY,D,19940310,000000,117.13,117.13,117.13,117.13,0,0
^CRY,D,19940311,000000,118.03,118.03,118.03,118.03,0,0
^CRY,D,19940314,000000,118.65,118.65,118.65,118.65,0,0
^CRY,D,19940315,000000,119.48,119.48,119.48,119.48,0,0
^CRY,D,19940316,000000,120.49,120.49,120.49,120.49,0,0
^CRY,D,19940317,000000,119.61,119.61,119.61,119.61,0,0
^CRY,D,19940318,000000,119.88,119.88,119.88,119.88,0,0
^CRY,D,19940321,000000,120.2,120.2,120.2,120.2,0,0
^CRY,D,19940322,000000,120.46,120.46,120.46,120.46,0,0
^CRY,D,19940323,000000,120.08,120.08,120.08,120.08,0,0
^CRY,D,19940324,000000,120.21,120.21,120.21,120.21,0,0
^CRY,D,19940325,000000,120.25,120.25,120.25,120.25,0,0
^CRY,D,19940328,000000,117.07,117.07,117.07,117.07,0,0
^CRY,D,19940329,000000,117.29,117.29,117.29,117.29,0,0
^CRY,D,19940330,000000,117.26,117.26,117.26,117.26,0,0
^CRY,D,19940331,000000,118.45,118.45,118.45,118.45,0,0
