<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^FMIB,D,19980102,000000,24914,24914,24914,24914,0,0
^FMIB,D,19980105,000000,25734,25734,25734,25734,0,0
^FMIB,D,19980107,000000,25961,25961,25961,25961,0,0
^FMIB,D,19980108,000000,25675,25675,25675,25675,0,0
^FMIB,D,19980109,000000,25773,25773,25773,25773,0,0
^FMIB,D,19980112,000000,25731,25731,25731,25731,0,0
^FMIB,D,19980113,000000,26066,26066,26066,26066,0,0
^FMIB,D,19980114,000000,26219,26219,26219,26219,0,0
^FMIB,D,19980115,000000,26300,26300,26300,26300,0,0
^FMIB,D,19980116,000000,26683,26683,26683,26683,0,0
^FMIB,D,19980119,000000,26381,26381,26381,26381,0,0
^FMIB,D,19980120,000000,26803,26803,26803,26803,0,0
^FMIB,D,19980121,000000,26483,26483,26483,26483,0,0
^FMIB,D,19980122,000000,26703,26703,26703,26703,0,0
^FMIB,D,19980123,000000,26368,26368,26368,26368,0,0
^FMIB,D,19980126,000000,26500,26500,26500,26500,0,0
^FMIB,D,19980127,000000,26754,26754,26754,26754,0,0
^FMIB,D,19980128,000000,26966,26966,26966,26966,0,0
^FMIB,D,19980129,000000,27191,27191,27191,27191,0,0
^FMIB,D,19980130,000000,27549,27549,27549,27549,0,0
^FMIB,D,19980202,000000,27737,27737,27737,27737,0,0
^FMIB,D,19980203,000000,27525,27525,27525,27525,0,0
^FMIB,D,19980204,000000,27920,27920,27920,27920,0,0
^FMIB,D,19980205,000000,28206,28206,28206,28206,0,0
^FMIB,D,19980206,000000,28389,28389,28389,28389,0,0
^FMIB,D,19980209,000000,28267,28267,28267,28267,0,0
^FMIB,D,19980210,000000,28708,28708,28708,28708,0,0
^FMIB,D,19980211,000000,28923,28923,28923,28923,0,0
^FMIB,D,19980212,000000,28464,28464,28464,28464,0,0
^FMIB,D,19980213,000000,28477,28477,28477,28477,0,0
^FMIB,D,19980216,000000,28613,28613,28613,28613,0,0
^FMIB,D,19980217,000000,28945,28945,28945,28945,0,0
^FMIB,D,19980218,000000,28701,28701,28701,28701,0,0
^FMIB,D,19980219,000000,28247,28247,28247,28247,0,0
^FMIB,D,19980220,000000,27847,27847,27847,27847,0,0
^FMIB,D,19980223,000000,27759,27759,27759,27759,0,0
^FMIB,D,19980224,000000,27774,27774,27774,27774,0,0
^FMIB,D,19980225,000000,28564,28564,28564,28564,0,0
^FMIB,D,19980226,000000,28591,28591,28591,28591,0,0
^FMIB,D,19980227,000000,28542,28542,28542,28542,0,0
^FMIB,D,19980302,000000,29299,29299,29299,29299,0,0
^FMIB,D,19980303,000000,29431,29431,29431,29431,0,0
^FMIB,D,19980304,000000,29262,29262,29262,29262,0,0
^FMIB,D,19980305,000000,29414,29414,29414,29414,0,0
^FMIB,D,19980306,000000,29846,29846,29846,29846,0,0
^FMIB,D,19980309,000000,30282,30282,30282,30282,0,0
^FMIB,D,19980310,000000,30426,30426,30426,30426,0,0
^FMIB,D,19980311,000000,30424,30424,30424,30424,0,0
^FMIB,D,19980312,000000,30285,30285,30285,30285,0,0
^FMIB,D,19980313,000000,30739,30739,30739,30739,0,0
^FMIB,D,19980316,000000,31283,31283,31283,31283,0,0
^FMIB,D,19980317,000000,31378,31378,31378,31378,0,0
^FMIB,D,19980318,000000,31510,31510,31510,31510,0,0
^FMIB,D,19980319,000000,31602,31602,31602,31602,0,0
^FMIB,D,19980320,000000,32205,32205,32205,32205,0,0
^FMIB,D,19980323,000000,32554,32554,32554,32554,0,0
