<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^HEX,D,19950102,000000,1848,1884,1848,1879.07,0,0
^HEX,D,19950103,000000,1882.4,1903.2,1882.4,1899.25,0,0
^HEX,D,19950104,000000,1899.5,1900.6,1882.1,1883.64,0,0
^HEX,D,19950105,000000,1884.6,1893.5,1884.2,1884.2,0,0
^HEX,D,19950109,000000,1888.3,1930.5,1888.3,1928.93,0,0
^HEX,D,19950110,000000,1928.2,1949.6,1916.2,1938.68,0,0
^HEX,D,19950111,000000,1938.8,1938.8,1907.8,1908.57,0,0
^HEX,D,19950112,000000,1910,1910,1888.7,1891.3,0,0
^HEX,D,19950113,000000,1892.8,1892.8,1880.9,1885.68,0,0
^HEX,D,19950116,000000,1889.3,1896.4,1884.5,1888.35,0,0
^HEX,D,19950117,000000,1889.7,1889.7,1865.5,1866.24,0,0
^HEX,D,19950118,000000,1868.4,1876.8,1858.4,1863.03,0,0
^HEX,D,19950119,000000,1863.6,1877.6,1862.3,1871.67,0,0
^HEX,D,19950120,000000,1872.1,1872.1,1858.8,1860.85,0,0
^HEX,D,19950123,000000,1857.4,1857.4,1821.13,1821.13,0,0
^HEX,D,19950124,000000,1823.9,1833.6,1823.9,1829.64,0,0
^HEX,D,19950125,000000,1828.7,1834.4,1823.9,1829.72,0,0
^HEX,D,19950126,000000,1832,1832.3,1815.6,1819.37,0,0
^HEX,D,19950127,000000,1819,1834,1819,1831.34,0,0
^HEX,D,19950130,000000,1821.7,1830.8,1821.7,1824.97,0,0
^HEX,D,19950131,000000,1819.1,1821.5,1802.9,1808.19,0,0
^HEX,D,19950201,000000,1810,1828.8,1810,1826.02,0,0
^HEX,D,19950202,000000,1826.7,1834.3,1813.2,1813.36,0,0
^HEX,D,19950203,000000,1835.5,1850.5,1835.1,1847.3,0,0
^HEX,D,19950206,000000,1854.5,1866.1,1854.5,1862.44,0,0
^HEX,D,19950207,000000,1863.7,1864.1,1849.5,1853.44,0,0
^HEX,D,19950208,000000,1849.3,1849.3,1828.9,1829.59,0,0
^HEX,D,19950209,000000,1827.1,1854.7,1821.4,1832.44,0,0
^HEX,D,19950210,000000,1838.1,1839.2,1825.1,1829.55,0,0
^HEX,D,19950213,000000,1830.1,1831,1821,1823.38,0,0
^HEX,D,19950214,000000,1824.8,1834.6,1824.5,1833.07,0,0
^HEX,D,19950215,000000,1838.8,1846.2,1830.5,1832.06,0,0
^HEX,D,19950216,000000,1834,1834.1,1821.09,1821.09,0,0
^HEX,D,19950217,000000,1822.6,1822.6,1789.8,1798.2,0,0
^HEX,D,19950220,000000,1778.2,1778.2,1750.5,1755.12,0,0
^HEX,D,19950221,000000,1755.7,1757.6,1730.7,1741.41,0,0
^HEX,D,19950222,000000,1739.9,1739.9,1726.3,1733.85,0,0
^HEX,D,19950223,000000,1735.3,1739.3,1735,1735.69,0,0
^HEX,D,19950224,000000,1743,1765.7,1743,1762.5,0,0
^HEX,D,19950227,000000,1755.7,1755.7,1738.2,1743.23,0,0
^HEX,D,19950228,000000,1741.8,1752.5,1686.1,1734.95,0,0
^HEX,D,19950301,000000,1747.3,1754.9,1734.5,1741.91,0,0
^HEX,D,19950302,000000,1741.6,1741.6,1699,1702.68,0,0
^HEX,D,19950303,000000,1705.6,1715,1681.3,1693.21,0,0
^HEX,D,19950306,000000,1696.1,1696.1,1657.91,1657.91,0,0
^HEX,D,19950307,000000,1660.8,1671,1653.1,1657.45,0,0
^HEX,D,19950308,000000,1653.3,1653.3,1626.6,1642.8,0,0
^HEX,D,19950309,000000,1644.6,1669.5,1640.3,1642.84,0,0
^HEX,D,19950310,000000,1647.8,1653.6,1639,1645.66,0,0
^HEX,D,19950313,000000,1649.6,1670.5,1649.6,1657.88,0,0
^HEX,D,19950314,000000,1660,1670.6,1656.6,1664.16,0,0
^HEX,D,19950315,000000,1667.7,1699.9,1667.7,1694.81,0,0
^HEX,D,19950316,000000,1696.1,1696.1,1669.9,1670.08,0,0
^HEX,D,19950317,000000,1678.7,1694.5,1678.7,1692.82,0,0
^HEX,D,19950320,000000,1697.1,1699.5,1691.3,1695.52,0,0
^HEX,D,19950321,000000,1695.3,1695.3,1671.45,1671.45,0,0
^HEX,D,19950322,000000,1668.9,1668.9,1623.9,1629.81,0,0
^HEX,D,19950323,000000,1629.1,1629.1,1595.1,1595.54,0,0
^HEX,D,19950324,000000,1597.6,1610,1582.7,1584.07,0,0
^HEX,D,19950327,000000,1587.5,1611.5,1587.5,1605.42,0,0
^HEX,D,19950328,000000,1605.9,1606.4,1576.8,1586.17,0,0
^HEX,D,19950329,000000,1587.5,1589.5,1554.06,1554.06,0,0
^HEX,D,19950330,000000,1556.6,1588,1550.3,1585.39,0,0
^HEX,D,19950331,000000,1589,1604.6,1576.8,1593.96,0,0
^HEX,D,19950403,000000,1596.4,1613.2,1585.7,1611.91,0,0
^HEX,D,19950404,000000,1614.7,1661.9,1612.4,1658.13,0,0
^HEX,D,19950405,000000,1659.8,1672.4,1655.4,1660.04,0,0
^HEX,D,19950406,000000,1660.4,1688.9,1648.9,1673.98,0,0
^HEX,D,19950407,000000,1672.2,1673.2,1659.4,1661.76,0,0
