<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^IBEX,D,19870105,000000,2201,2201,2201,2201,0,0
^IBEX,D,19870107,000000,2205.6,2205.6,2205.6,2205.6,0,0
^IBEX,D,19870108,000000,2197.2,2197.2,2197.2,2197.2,0,0
^IBEX,D,19870109,000000,2262.1,2262.1,2262.1,2262.1,0,0
^IBEX,D,19870112,000000,2314.2,2314.2,2314.2,2314.2,0,0
^IBEX,D,19870113,000000,2374.7,2374.7,2374.7,2374.7,0,0
^IBEX,D,19870114,000000,2365.2,2365.2,2365.2,2365.2,0,0
^IBEX,D,19870115,000000,2419.6,2419.6,2419.6,2419.6,0,0
^IBEX,D,19870116,000000,2396.5,2396.5,2396.5,2396.5,0,0
^IBEX,D,19870119,000000,2415.7,2415.7,2415.7,2415.7,0,0
^IBEX,D,19870120,000000,2429.9,2429.9,2429.9,2429.9,0,0
^IBEX,D,19870121,000000,2453.8,2453.8,2453.8,2453.8,0,0
^IBEX,D,19870122,000000,2438,2438,2438,2438,0,0
^IBEX,D,19870123,000000,2447.3,2447.3,2447.3,2447.3,0,0
^IBEX,D,19870126,000000,2454.2,2454.2,2454.2,2454.2,0,0
^IBEX,D,19870127,000000,2477,2477,2477,2477,0,0
^IBEX,D,19870128,000000,2499.4,2499.4,2499.4,2499.4,0,0
^IBEX,D,19870129,000000,2526.9,2526.9,2526.9,2526.9,0,0
^IBEX,D,19870130,000000,2499.9,2499.9,2499.9,2499.9,0,0
^IBEX,D,19870202,000000,2514.4,2514.4,2514.4,2514.4,0,0
^IBEX,D,19870203,000000,2536.9,2536.9,2536.9,2536.9,0,0
^IBEX,D,19870204,000000,2562.3,2562.3,2562.3,2562.3,0,0
^IBEX,D,19870205,000000,2519.4,2519.4,2519.4,2519.4,0,0
^IBEX,D,19870206,000000,2460.2,2460.2,2460.2,2460.2,0,0
^IBEX,D,19870209,000000,2457,2457,2457,2457,0,0
^IBEX,D,19870210,000000,2432.7,2432.7,2432.7,2432.7,0,0
^IBEX,D,19870211,000000,2357.6,2357.6,2357.6,2357.6,0,0
^IBEX,D,19870212,000000,2313.9,2313.9,2313.9,2313.9,0,0
^IBEX,D,19870213,000000,2339,2339,2339,2339,0,0
^IBEX,D,19870216,000000,2409.5,2409.5,2409.5,2409.5,0,0
^IBEX,D,19870217,000000,2524.2,2524.2,2524.2,2524.2,0,0
^IBEX,D,19870218,000000,2583.7,2583.7,2583.7,2583.7,0,0
^IBEX,D,19870219,000000,2584.4,2584.4,2584.4,2584.4,0,0
^IBEX,D,19870220,000000,2610.4,2610.4,2610.4,2610.4,0,0
^IBEX,D,19870223,000000,2652.9,2652.9,2652.9,2652.9,0,0
^IBEX,D,19870224,000000,2615.2,2615.2,2615.2,2615.2,0,0
^IBEX,D,19870225,000000,2535.4,2535.4,2535.4,2535.4,0,0
^IBEX,D,19870226,000000,2558.6,2558.6,2558.6,2558.6,0,0
^IBEX,D,19870227,000000,2612.4,2612.4,2612.4,2612.4,0,0
^IBEX,D,19870302,000000,2624,2624,2624,2624,0,0
^IBEX,D,19870303,000000,2560.6,2560.6,2560.6,2560.6,0,0
^IBEX,D,19870304,000000,2549.1,2549.1,2549.1,2549.1,0,0
^IBEX,D,19870305,000000,2529.8,2529.8,2529.8,2529.8,0,0
^IBEX,D,19870306,000000,2495.6,2495.6,2495.6,2495.6,0,0
^IBEX,D,19870309,000000,2482.8,2482.8,2482.8,2482.8,0,0
^IBEX,D,19870310,000000,2440,2440,2440,2440,0,0
^IBEX,D,19870311,000000,2399.8,2399.8,2399.8,2399.8,0,0
^IBEX,D,19870312,000000,2383.4,2383.4,2383.4,2383.4,0,0
^IBEX,D,19870313,000000,2390.5,2390.5,2390.5,2390.5,0,0
