<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^MOEX,D,19970922,000000,100,100,100,100,0,0
^MOEX,D,19970923,000000,100.67,100.67,100.67,100.67,0,0
^MOEX,D,19970924,000000,99.94,99.94,99.94,99.94,0,0
^MOEX,D,19970925,000000,99.46,99.46,99.46,99.46,0,0
^MOEX,D,19970926,000000,98.87,98.87,98.87,98.87,0,0
^MOEX,D,19970929,000000,99.14,99.14,99.14,99.14,0,0
^MOEX,D,19970930,000000,100.16,100.16,100.16,100.16,0,0
^MOEX,D,19971001,000000,101.21,101.21,101.21,101.21,0,0
^MOEX,D,19971002,000000,105.8,105.8,105.8,105.8,0,0
^MOEX,D,19971003,000000,110.73,110.73,110.73,110.73,0,0
^MOEX,D,19971006,000000,115.03,115.03,115.03,115.03,0,0
^MOEX,D,19971007,000000,112.67,112.67,112.67,112.67,0,0
^MOEX,D,19971008,000000,112.22,112.22,112.22,112.22,0,0
^MOEX,D,19971009,000000,107.89,107.89,107.89,107.89,0,0
^MOEX,D,19971010,000000,106.56,106.56,106.56,106.56,0,0
^MOEX,D,19971013,000000,108.54,108.54,108.54,108.54,0,0
^MOEX,D,19971014,000000,111.44,111.44,111.44,111.44,0,0
^MOEX,D,19971015,000000,109.65,109.65,109.65,109.65,0,0
^MOEX,D,19971016,000000,109.68,109.68,109.68,109.68,0,0
^MOEX,D,19971017,000000,107.9,107.9,107.9,107.9,0,0
^MOEX,D,19971020,000000,107.46,107.46,107.46,107.46,0,0
^MOEX,D,19971021,000000,109.39,109.39,109.39,109.39,0,0
^MOEX,D,19971022,000000,111.19,111.19,111.19,111.19,0,0
^MOEX,D,19971023,000000,106.82,106.82,106.82,106.82,0,0
^MOEX,D,19971024,000000,105.33,105.33,105.33,105.33,0,0
^MOEX,D,19971027,000000,99.65,99.65,99.65,99.65,0,0
^MOEX,D,19971028,000000,78.91,78.91,78.91,78.91,0,0
^MOEX,D,19971029,000000,94.73,94.73,94.73,94.73,0,0
^MOEX,D,19971030,000000,85.27,85.27,85.27,85.27,0,0
^MOEX,D,19971031,000000,86.46,86.46,86.46,86.46,0,0
^MOEX,D,19971103,000000,89.34,89.34,89.34,89.34,0,0
^MOEX,D,19971104,000000,89.34,89.34,89.34,89.34,0,0
^MOEX,D,19971105,000000,88.85,88.85,88.85,88.85,0,0
^MOEX,D,19971106,000000,88.6,88.6,88.6,88.6,0,0
^MOEX,D,19971110,000000,81.77,81.77,81.77,81.77,0,0
^MOEX,D,19971111,000000,77.2,77.2,77.2,77.2,0,0
^MOEX,D,19971112,000000,71.19,71.19,71.19,71.19,0,0
^MOEX,D,19971113,000000,68.23,68.23,68.23,68.23,0,0
^MOEX,D,19971114,000000,67.42,67.42,67.42,67.42,0,0
^MOEX,D,19971117,000000,68.06,68.06,68.06,68.06,0,0
^MOEX,D,19971118,000000,72.18,72.18,72.18,72.18,0,0
^MOEX,D,19971119,000000,70.51,70.51,70.51,70.51,0,0
^MOEX,D,19971120,000000,72.58,72.58,72.58,72.58,0,0
^MOEX,D,19971121,000000,77.52,77.52,77.52,77.52,0,0
^MOEX,D,19971124,000000,74.01,74.01,74.01,74.01,0,0
^MOEX,D,19971125,000000,69.49,69.49,69.49,69.49,0,0
^MOEX,D,19971126,000000,72.65,72.65,72.65,72.65,0,0
^MOEX,D,19971127,000000,70.2,70.2,70.2,70.2,0,0
^MOEX,D,19971128,000000,67.94,67.94,67.94,67.94,0,0
^MOEX,D,19971201,000000,66.66,66.66,66.66,66.66,0,0
^MOEX,D,19971202,000000,66.7,66.7,66.7,66.7,0,0
^MOEX,D,19971203,000000,70.05,70.05,70.05,70.05,0,0
^MOEX,D,19971204,000000,74.84,74.84,74.84,74.84,0,0
^MOEX,D,19971205,000000,79.16,79.16,79.16,79.16,0,0
^MOEX,D,19971208,000000,80.27,80.27,80.27,80.27,0,0
^MOEX,D,19971209,000000,80.89,80.89,80.89,80.89,0,0
^MOEX,D,19971210,000000,76.88,76.88,76.88,76.88,0,0
^MOEX,D,19971211,000000,71.06,71.06,71.06,71.06,0,0
^MOEX,D,19971215,000000,76.13,76.13,76.13,76.13,0,0
^MOEX,D,19971216,000000,79.05,79.05,79.05,79.05,0,0
^MOEX,D,19971217,000000,81.59,81.59,81.59,81.59,0,0
^MOEX,D,19971218,000000,80.16,80.16,80.16,80.16,0,0
^MOEX,D,19971219,000000,76.39,76.39,76.39,76.39,0,0
^MOEX,D,19971222,000000,76.75,76.75,76.75,76.75,0,0
^MOEX,D,19971223,000000,79.47,79.47,79.47,79.47,0,0
^MOEX,D,19971224,000000,78.72,78.72,78.72,78.72,0,0
^MOEX,D,19971225,000000,79.91,79.91,79.91,79.91,0,0
^MOEX,D,19971226,000000,80.98,80.98,80.98,80.98,0,0
^MOEX,D,19971229,000000,83.2,83.2,83.2,83.2,0,0
^MOEX,D,19971230,000000,85.05,85.05,85.05,85.05,0,0
^MOEX,D,19980106,000000,88.97,88.97,88.97,88.97,0,0
^MOEX,D,19980108,000000,83.56,83.56,83.56,83.56,0,0
^MOEX,D,19980109,000000,81.26,81.26,81.26,81.26,0,0
^MOEX,D,19980112,000000,70.61,70.61,70.61,70.61,0,0
^MOEX,D,19980113,000000,73.34,73.34,73.34,73.34,0,0
^MOEX,D,19980114,000000,74.16,74.16,74.16,74.16,0,0
^MOEX,D,19980115,000000,70.62,70.62,70.62,70.62,0,0
^MOEX,D,19980116,000000,70.61,70.61,70.61,70.61,0,0
^MOEX,D,19980119,000000,73.4,73.4,73.4,73.4,0,0
^MOEX,D,19980120,000000,73.33,73.33,73.33,73.33,0,0
^MOEX,D,19980121,000000,71.7,71.7,71.7,71.7,0,0
^MOEX,D,19980122,000000,67.75,67.75,67.75,67.75,0,0
^MOEX,D,19980123,000000,65.98,65.98,65.98,65.98,0,0
^MOEX,D,19980126,000000,60.34,60.34,60.34,60.34,0,0
^MOEX,D,19980127,000000,62.99,62.99,62.99,62.99,0,0
^MOEX,D,19980128,000000,62.71,62.71,62.71,62.71,0,0
^MOEX,D,19980129,000000,57.95,57.95,57.95,57.95,0,0
^MOEX,D,19980130,000000,62.21,62.21,62.21,62.21,0,0
^MOEX,D,19980202,000000,67.39,67.39,67.39,67.39,0,0
^MOEX,D,19980203,000000,65.96,65.96,65.96,65.96,0,0
^MOEX,D,19980204,000000,64.1,64.1,64.1,64.1,0,0
^MOEX,D,19980205,000000,67.48,67.48,67.48,67.48,0,0
^MOEX,D,19980206,000000,70.4,70.4,70.4,70.4,0,0
^MOEX,D,19980209,000000,71.36,71.36,71.36,71.36,0,0
^MOEX,D,19980210,000000,69.71,69.71,69.71,69.71,0,0
^MOEX,D,19980211,000000,72.15,72.15,72.15,72.15,0,0
