<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^MRV,D,19880404,000000,0.03,0.03,0.03,0.03,0,0
^MRV,D,19880412,000000,0.04,0.04,0.04,0.04,0,0
^MRV,D,19880426,000000,0.05,0.05,0.05,0.05,0,0
^MRV,D,19880427,000000,0.04,0.04,0.04,0.04,0,0
^MRV,D,19880502,000000,0.04,0.04,0.04,0.04,0,0
^MRV,D,19880509,000000,0.05,0.05,0.05,0.05,0,0
^MRV,D,19880516,000000,0.06,0.06,0.06,0.06,0,0
^MRV,D,19880517,000000,0.05,0.05,0.05,0.05,0,0
^MRV,D,19880518,000000,0.06,0.06,0.06,0.06,0,0
^MRV,D,19880524,000000,0.07,0.07,0.07,0.07,0,0
^MRV,D,19880526,000000,0.06,0.06,0.06,0.06,0,0
^MRV,D,19880530,000000,0.07,0.07,0.07,0.07,0,0
^MRV,D,19880601,000000,0.07,0.07,0.07,0.07,0,0
^MRV,D,19880602,000000,0.08,0.08,0.08,0.08,0,0
^MRV,D,19880608,000000,0.09,0.09,0.09,0.09,0,0
^MRV,D,19880614,000000,0.1,0.1,0.1,0.1,0,0
^MRV,D,19880622,000000,0.09,0.09,0.09,0.09,0,0
^MRV,D,19880627,000000,0.08,0.08,0.08,0.08,0,0
^MRV,D,19880630,000000,0.09,0.09,0.09,0.09,0,0
^MRV,D,19880701,000000,0.09,0.09,0.09,0.09,0,0
^MRV,D,19880704,000000,0.08,0.08,0.08,0.08,0,0
^MRV,D,19880707,000000,0.09,0.09,0.09,0.09,0,0
^MRV,D,19880711,000000,0.1,0.1,0.1,0.1,0,0
^MRV,D,19880714,000000,0.11,0.11,0.11,0.11,0,0
^MRV,D,19880715,000000,0.12,0.12,0.12,0.12,0,0
^MRV,D,19880718,000000,0.11,0.11,0.11,0.11,0,0
^MRV,D,19880720,000000,0.12,0.12,0.12,0.12,0,0
^MRV,D,19880726,000000,0.13,0.13,0.13,0.13,0,0
^MRV,D,19880728,000000,0.14,0.14,0.14,0.14,0,0
^MRV,D,19880804,000000,0.17,0.17,0.17,0.17,0,0
^MRV,D,19880808,000000,0.15,0.15,0.15,0.15,0,0
^MRV,D,19880809,000000,0.17,0.17,0.17,0.17,0,0
^MRV,D,19880811,000000,0.18,0.18,0.18,0.18,0,0
^MRV,D,19880818,000000,0.19,0.19,0.19,0.19,0,0
^MRV,D,19880822,000000,0.18,0.18,0.18,0.18,0,0
^MRV,D,19880824,000000,0.17,0.17,0.17,0.17,0,0
^MRV,D,19880825,000000,0.18,0.18,0.18,0.18,0,0
^MRV,D,19880829,000000,0.17,0.17,0.17,0.17,0,0
^MRV,D,19880831,000000,0.18,0.18,0.18,0.18,0,0
^MRV,D,19880901,000000,0.18,0.18,0.18,0.18,0,0
^MRV,D,19880902,000000,0.19,0.19,0.19,0.19,0,0
^MRV,D,19880906,000000,0.18,0.18,0.18,0.18,0,0
^MRV,D,19880907,000000,0.19,0.19,0.19,0.19,0,0
^MRV,D,19880914,000000,0.2,0.2,0.2,0.2,0,0
^MRV,D,19880919,000000,0.21,0.21,0.21,0.21,0,0
^MRV,D,19880923,000000,0.22,0.22,0.22,0.22,0,0
^MRV,D,19880929,000000,0.23,0.23,0.23,0.23,0,0
^MRV,D,19880930,000000,0.24,0.24,0.24,0.24,0,0
^MRV,D,19881003,000000,0.23,0.23,0.23,0.23,0,0
^MRV,D,19881006,000000,0.22,0.22,0.22,0.22,0,0
^MRV,D,19881007,000000,0.21,0.21,0.21,0.21,0,0
^MRV,D,19881011,000000,0.19,0.19,0.19,0.19,0,0
^MRV,D,19881012,000000,0.2,0.2,0.2,0.2,0,0
^MRV,D,19881013,000000,0.19,0.19,0.19,0.19,0,0
^MRV,D,19881017,000000,0.2,0.2,0.2,0.2,0,0
^MRV,D,19881018,000000,0.21,0.21,0.21,0.21,0,0
^MRV,D,19881019,000000,0.2,0.2,0.2,0.2,0,0
^MRV,D,19881020,000000,0.19,0.19,0.19,0.19,0,0
^MRV,D,19881026,000000,0.2,0.2,0.2,0.2,0,0
^MRV,D,19881027,000000,0.19,0.19,0.19,0.19,0,0
^MRV,D,19881101,000000,0.19,0.19,0.19,0.19,0,0
^MRV,D,19881102,000000,0.18,0.18,0.18,0.18,0,0
^MRV,D,19881108,000000,0.17,0.17,0.17,0.17,0,0
^MRV,D,19881109,000000,0.16,0.16,0.16,0.16,0,0
^MRV,D,19881111,000000,0.17,0.17,0.17,0.17,0,0
^MRV,D,19881114,000000,0.16,0.16,0.16,0.16,0,0
^MRV,D,19881121,000000,0.15,0.15,0.15,0.15,0,0
^MRV,D,19881124,000000,0.17,0.17,0.17,0.17,0,0
^MRV,D,19881125,000000,0.18,0.18,0.18,0.18,0,0
^MRV,D,19881128,000000,0.19,0.19,0.19,0.19,0,0
^MRV,D,19881130,000000,0.17,0.17,0.17,0.17,0,0
^MRV,D,19881201,000000,0.17,0.17,0.17,0.17,0,0
^MRV,D,19881213,000000,0.16,0.16,0.16,0.16,0,0
^MRV,D,19881214,000000,0.17,0.17,0.17,0.17,0,0
^MRV,D,19881219,000000,0.18,0.18,0.18,0.18,0,0
^MRV,D,19881220,000000,0.19,0.19,0.19,0.19,0,0
^MRV,D,19881222,000000,0.18,0.18,0.18,0.18,0,0
^MRV,D,19881223,000000,0.19,0.19,0.19,0.19,0,0
^MRV,D,19881227,000000,0.2,0.2,0.2,0.2,0,0
^MRV,D,19890102,000000,0.2,0.2,0.2,0.2,0,0
^MRV,D,19890103,000000,0.21,0.21,0.21,0.21,0,0
^MRV,D,19890104,000000,0.22,0.22,0.22,0.22,0,0
^MRV,D,19890105,000000,0.21,0.21,0.21,0.21,0,0
^MRV,D,19890109,000000,0.22,0.22,0.22,0.22,0,0
^MRV,D,19890111,000000,0.21,0.21,0.21,0.21,0,0
^MRV,D,19890117,000000,0.2,0.2,0.2,0.2,0,0
^MRV,D,19890118,000000,0.19,0.19,0.19,0.19,0,0
^MRV,D,19890123,000000,0.2,0.2,0.2,0.2,0,0
^MRV,D,19890124,000000,0.19,0.19,0.19,0.19,0,0
^MRV,D,19890125,000000,0.18,0.18,0.18,0.18,0,0
^MRV,D,19890126,000000,0.19,0.19,0.19,0.19,0,0
^MRV,D,19890127,000000,0.18,0.18,0.18,0.18,0,0
^MRV,D,19890201,000000,0.19,0.19,0.19,0.19,0,0
^MRV,D,19890202,000000,0.18,0.18,0.18,0.18,0,0
^MRV,D,19890203,000000,0.17,0.17,0.17,0.17,0,0
^MRV,D,19890207,000000,0.2,0.2,0.2,0.2,0,0
^MRV,D,19890208,000000,0.22,0.22,0.22,0.22,0,0
^MRV,D,19890209,000000,0.2,0.2,0.2,0.2,0,0
^MRV,D,19890215,000000,0.23,0.23,0.23,0.23,0,0
^MRV,D,19890216,000000,0.24,0.24,0.24,0.24,0,0
^MRV,D,19890217,000000,0.23,0.23,0.23,0.23,0,0
^MRV,D,19890220,000000,0.22,0.22,0.22,0.22,0,0
^MRV,D,19890221,000000,0.23,0.23,0.23,0.23,0,0
^MRV,D,19890222,000000,0.22,0.22,0.22,0.22,0,0
^MRV,D,19890223,000000,0.23,0.23,0.23,0.23,0,0
^MRV,D,19890224,000000,0.25,0.25,0.25,0.25,0,0
^MRV,D,19890227,000000,0.24,0.24,0.24,0.24,0,0
^MRV,D,19890301,000000,0.24,0.24,0.24,0.24,0,0
^MRV,D,19890302,000000,0.28,0.28,0.28,0.28,0,0
^MRV,D,19890306,000000,0.3,0.3,0.3,0.3,0,0
^MRV,D,19890307,000000,0.32,0.32,0.32,0.32,0,0
^MRV,D,19890308,000000,0.36,0.36,0.36,0.36,0,0
^MRV,D,19890309,000000,0.34,0.34,0.34,0.34,0,0
^MRV,D,19890310,000000,0.33,0.33,0.33,0.33,0,0
^MRV,D,19890313,000000,0.36,0.36,0.36,0.36,0,0
^MRV,D,19890314,000000,0.37,0.37,0.37,0.37,0,0
^MRV,D,19890315,000000,0.39,0.39,0.39,0.39,0,0
^MRV,D,19890316,000000,0.4,0.4,0.4,0.4,0,0
^MRV,D,19890320,000000,0.38,0.38,0.38,0.38,0,0
^MRV,D,19890322,000000,0.4,0.4,0.4,0.4,0,0
^MRV,D,19890327,000000,0.42,0.42,0.42,0.42,0,0
^MRV,D,19890328,000000,0.4,0.4,0.4,0.4,0,0
^MRV,D,19890329,000000,0.45,0.45,0.45,0.45,0,0
^MRV,D,19890330,000000,0.46,0.46,0.46,0.46,0,0
^MRV,D,19890331,000000,0.45,0.45,0.45,0.45,0,0
^MRV,D,19890404,000000,0.46,0.46,0.46,0.46,0,0
^MRV,D,19890405,000000,0.43,0.43,0.43,0.43,0,0
^MRV,D,19890407,000000,0.42,0.42,0.42,0.42,0,0
^MRV,D,19890410,000000,0.38,0.38,0.38,0.38,0,0
^MRV,D,19890411,000000,0.41,0.41,0.41,0.41,0,0
^MRV,D,19890412,000000,0.45,0.45,0.45,0.45,0,0
^MRV,D,19890413,000000,0.49,0.49,0.49,0.49,0,0
^MRV,D,19890414,000000,0.46,0.46,0.46,0.46,0,0
^MRV,D,19890417,000000,0.44,0.44,0.44,0.44,0,0
^MRV,D,19890418,000000,0.48,0.48,0.48,0.48,0,0
^MRV,D,19890419,000000,0.52,0.52,0.52,0.52,0,0
^MRV,D,19890420,000000,0.49,0.49,0.49,0.49,0,0
^MRV,D,19890421,000000,0.5,0.5,0.5,0.5,0,0
^MRV,D,19890424,000000,0.54,0.54,0.54,0.54,0,0
^MRV,D,19890425,000000,0.61,0.61,0.61,0.61,0,0
^MRV,D,19890426,000000,0.74,0.74,0.74,0.74,0,0
^MRV,D,19890427,000000,0.71,0.71,0.71,0.71,0,0
^MRV,D,19890502,000000,0.71,0.71,0.71,0.71,0,0
^MRV,D,19890503,000000,0.72,0.72,0.72,0.72,0,0
^MRV,D,19890504,000000,0.7,0.7,0.7,0.7,0,0
^MRV,D,19890505,000000,0.75,0.75,0.75,0.75,0,0
^MRV,D,19890508,000000,0.94,0.94,0.94,0.94,0,0
^MRV,D,19890509,000000,0.97,0.97,0.97,0.97,0,0
^MRV,D,19890510,000000,1.07,1.07,1.07,1.07,0,0
^MRV,D,19890511,000000,1.05,1.05,1.05,1.05,0,0
^MRV,D,19890512,000000,1.08,1.08,1.08,1.08,0,0
^MRV,D,19890515,000000,0.95,0.95,0.95,0.95,0,0
^MRV,D,19890516,000000,0.88,0.88,0.88,0.88,0,0
^MRV,D,19890517,000000,1.05,1.05,1.05,1.05,0,0
^MRV,D,19890518,000000,1.28,1.28,1.28,1.28,0,0
^MRV,D,19890519,000000,1.26,1.26,1.26,1.26,0,0
^MRV,D,19890530,000000,1.64,1.64,1.64,1.64,0,0
^MRV,D,19890531,000000,2.28,2.28,2.28,2.28,0,0
^MRV,D,19890601,000000,2.21,2.21,2.21,2.21,0,0
^MRV,D,19890602,000000,2.64,2.64,2.64,2.64,0,0
^MRV,D,19890605,000000,3.14,3.14,3.14,3.14,0,0
^MRV,D,19890606,000000,3.01,3.01,3.01,3.01,0,0
^MRV,D,19890607,000000,3.09,3.09,3.09,3.09,0,0
^MRV,D,19890608,000000,2.96,2.96,2.96,2.96,0,0
^MRV,D,19890609,000000,3.19,3.19,3.19,3.19,0,0
