<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^UX,D,19971103,000000,232.05,232.05,232.05,232.05,0,0
^UX,D,19971104,000000,228.96,228.96,228.96,228.96,0,0
^UX,D,19971105,000000,225.69,225.69,225.69,225.69,0,0
^UX,D,19971106,000000,222.03,222.03,222.03,222.03,0,0
^UX,D,19971107,000000,222.03,222.03,222.03,222.03,0,0
^UX,D,19971110,000000,222.03,222.03,222.03,222.03,0,0
^UX,D,19971111,000000,223.65,223.65,223.65,223.65,0,0
^UX,D,19971112,000000,220.96,220.96,220.96,220.96,0,0
^UX,D,19971113,000000,233.82,233.82,233.82,233.82,0,0
^UX,D,19971114,000000,230.86,230.86,230.86,230.86,0,0
^UX,D,19971117,000000,214.82,214.82,214.82,214.82,0,0
^UX,D,19971118,000000,206.74,206.74,206.74,206.74,0,0
^UX,D,19971119,000000,205.24,205.24,205.24,205.24,0,0
^UX,D,19971120,000000,208.63,208.63,208.63,208.63,0,0
^UX,D,19971121,000000,207.4,207.4,207.4,207.4,0,0
^UX,D,19971124,000000,204.94,204.94,204.94,204.94,0,0
^UX,D,19971125,000000,197.84,197.84,197.84,197.84,0,0
^UX,D,19971126,000000,200.04,200.04,200.04,200.04,0,0
^UX,D,19971127,000000,199.24,199.24,199.24,199.24,0,0
^UX,D,19971128,000000,198.76,198.76,198.76,198.76,0,0
^UX,D,19971201,000000,198.88,198.88,198.88,198.88,0,0
^UX,D,19971202,000000,198.32,198.32,198.32,198.32,0,0
^UX,D,19971203,000000,196.57,196.57,196.57,196.57,0,0
^UX,D,19971204,000000,195.89,195.89,195.89,195.89,0,0
^UX,D,19971205,000000,196.4,196.4,196.4,196.4,0,0
^UX,D,19971208,000000,196.16,196.16,196.16,196.16,0,0
^UX,D,19971209,000000,194.92,194.92,194.92,194.92,0,0
^UX,D,19971210,000000,181.68,181.68,181.68,181.68,0,0
^UX,D,19971211,000000,169.5,169.5,169.5,169.5,0,0
^UX,D,19971212,000000,171.22,171.22,171.22,171.22,0,0
^UX,D,19971215,000000,165.23,165.23,165.23,165.23,0,0
^UX,D,19971216,000000,163.24,163.24,163.24,163.24,0,0
^UX,D,19971217,000000,171.39,171.39,171.39,171.39,0,0
^UX,D,19971218,000000,177.94,177.94,177.94,177.94,0,0
^UX,D,19971219,000000,177.82,177.82,177.82,177.82,0,0
^UX,D,19971222,000000,177.6,177.6,177.6,177.6,0,0
^UX,D,19971223,000000,177.96,177.96,177.96,177.96,0,0
^UX,D,19971224,000000,181.09,181.09,181.09,181.09,0,0
^UX,D,19971225,000000,188.88,188.88,188.88,188.88,0,0
^UX,D,19971226,000000,193.25,193.25,193.25,193.25,0,0
^UX,D,19971229,000000,193.47,193.47,193.47,193.47,0,0
^UX,D,19971230,000000,193.47,193.47,193.47,193.47,0,0
^UX,D,19971231,000000,193.47,193.47,193.47,193.47,0,0
^UX,D,19980101,000000,193.47,193.47,193.47,193.47,0,0
^UX,D,19980102,000000,193.47,193.47,193.47,193.47,0,0
^UX,D,19980105,000000,193.47,193.47,193.47,193.47,0,0
^UX,D,19980106,000000,193.47,193.47,193.47,193.47,0,0
^UX,D,19980107,000000,193.47,193.47,193.47,193.47,0,0
^UX,D,19980108,000000,193.47,193.47,193.47,193.47,0,0
^UX,D,19980109,000000,193.47,193.47,193.47,193.47,0,0
^UX,D,19980112,000000,194.22,194.22,194.22,194.22,0,0
^UX,D,19980113,000000,194.39,194.39,194.39,194.39,0,0
^UX,D,19980114,000000,197.59,197.59,197.59,197.59,0,0
^UX,D,19980115,000000,129.25,129.25,129.25,129.25,0,0
^UX,D,19980116,000000,192.04,192.04,192.04,192.04,0,0
^UX,D,19980119,000000,191.43,191.43,191.43,191.43,0,0
^UX,D,19980120,000000,189.73,189.73,189.73,189.73,0,0
^UX,D,19980121,000000,185.7,185.7,185.7,185.7,0,0
^UX,D,19980122,000000,183.69,183.69,183.69,183.69,0,0
^UX,D,19980123,000000,178.47,178.47,178.47,178.47,0,0
^UX,D,19980126,000000,173.31,173.31,173.31,173.31,0,0
^UX,D,19980127,000000,173.52,173.52,173.52,173.52,0,0
^UX,D,19980128,000000,166.39,166.39,166.39,166.39,0,0
^UX,D,19980129,000000,163.04,163.04,163.04,163.04,0,0
^UX,D,19980130,000000,162.7,162.7,162.7,162.7,0,0
^UX,D,19980202,000000,164.69,164.69,164.69,164.69,0,0
^UX,D,19980203,000000,161.56,161.56,161.56,161.56,0,0
^UX,D,19980204,000000,158.92,158.92,158.92,158.92,0,0
^UX,D,19980205,000000,159.67,159.67,159.67,159.67,0,0
^UX,D,19980206,000000,159.65,159.65,159.65,159.65,0,0
^UX,D,19980209,000000,159.53,159.53,159.53,159.53,0,0
^UX,D,19980210,000000,158.41,158.41,158.41,158.41,0,0
^UX,D,19980211,000000,158.51,158.51,158.51,158.51,0,0
^UX,D,19980212,000000,159.36,159.36,159.36,159.36,0,0
^UX,D,19980213,000000,159.43,159.43,159.43,159.43,0,0
^UX,D,19980216,000000,159.38,159.38,159.38,159.38,0,0
^UX,D,19980217,000000,153.51,153.51,153.51,153.51,0,0
^UX,D,19980218,000000,151.15,151.15,151.15,151.15,0,0
^UX,D,19980219,000000,152.8,152.8,152.8,152.8,0,0
^UX,D,19980220,000000,149.17,149.17,149.17,149.17,0,0
^UX,D,19980223,000000,149.36,149.36,149.36,149.36,0,0
^UX,D,19980224,000000,148.51,148.51,148.51,148.51,0,0
^UX,D,19980225,000000,147.52,147.52,147.52,147.52,0,0
^UX,D,19980226,000000,148,148,148,148,0,0
^UX,D,19980227,000000,148.07,148.07,148.07,148.07,0,0
^UX,D,19980302,000000,150.86,150.86,150.86,150.86,0,0
^UX,D,19980303,000000,151.4,151.4,151.4,151.4,0,0
^UX,D,19980304,000000,152.08,152.08,152.08,152.08,0,0
^UX,D,19980305,000000,153.17,153.17,153.17,153.17,0,0
^UX,D,19980306,000000,150.18,150.18,150.18,150.18,0,0
^UX,D,19980309,000000,154.65,154.65,154.65,154.65,0,0
^UX,D,19980310,000000,155.89,155.89,155.89,155.89,0,0
^UX,D,19980311,000000,158.46,158.46,158.46,158.46,0,0
^UX,D,19980312,000000,158.38,158.38,158.38,158.38,0,0
^UX,D,19980313,000000,156.4,156.4,156.4,156.4,0,0
^UX,D,19980316,000000,157.12,157.12,157.12,157.12,0,0
^UX,D,19980317,000000,155.42,155.42,155.42,155.42,0,0
^UX,D,19980318,000000,154.16,154.16,154.16,154.16,0,0
^UX,D,19980319,000000,152.42,152.42,152.42,152.42,0,0
^UX,D,19980320,000000,150.09,150.09,150.09,150.09,0,0
^UX,D,19980323,000000,146.47,146.47,146.47,146.47,0,0
^UX,D,19980324,000000,142.57,142.57,142.57,142.57,0,0
^UX,D,19980325,000000,144.56,144.56,144.56,144.56,0,0
^UX,D,19980326,000000,142.76,142.76,142.76,142.76,0,0
^UX,D,19980327,000000,148.87,148.87,148.87,148.87,0,0
^UX,D,19980330,000000,152.76,152.76,152.76,152.76,0,0
^UX,D,19980331,000000,143.56,143.56,143.56,143.56,0,0
^UX,D,19980401,000000,150.91,150.91,150.91,150.91,0,0
^UX,D,19980402,000000,149.09,149.09,149.09,149.09,0,0
^UX,D,19980403,000000,149.24,149.24,149.24,149.24,0,0
^UX,D,19980406,000000,138.08,138.08,138.08,138.08,0,0
^UX,D,19980407,000000,132.45,132.45,132.45,132.45,0,0
^UX,D,19980408,000000,135.24,135.24,135.24,135.24,0,0
^UX,D,19980409,000000,130,130,130,130,0,0
^UX,D,19980410,000000,127.91,127.91,127.91,127.91,0,0
^UX,D,19980413,000000,127.4,127.4,127.4,127.4,0,0
^UX,D,19980414,000000,128.13,128.13,128.13,128.13,0,0
^UX,D,19980415,000000,128.23,128.23,128.23,128.23,0,0
^UX,D,19980416,000000,129.08,129.08,129.08,129.08,0,0
^UX,D,19980417,000000,127.38,127.38,127.38,127.38,0,0
^UX,D,19980420,000000,127.69,127.69,127.69,127.69,0,0
^UX,D,19980421,000000,127.96,127.96,127.96,127.96,0,0
^UX,D,19980422,000000,127.98,127.98,127.98,127.98,0,0
^UX,D,19980423,000000,127.91,127.91,127.91,127.91,0,0
^UX,D,19980424,000000,124.1,124.1,124.1,124.1,0,0
^UX,D,19980427,000000,122.23,122.23,122.23,122.23,0,0
^UX,D,19980428,000000,120.46,120.46,120.46,120.46,0,0
^UX,D,19980429,000000,121.05,121.05,121.05,121.05,0,0
^UX,D,19980430,000000,127.77,127.77,127.77,127.77,0,0
^UX,D,19980501,000000,127.77,127.77,127.77,127.77,0,0
^UX,D,19980504,000000,125.9,125.9,125.9,125.9,0,0
^UX,D,19980505,000000,123.33,123.33,123.33,123.33,0,0
^UX,D,19980506,000000,121.58,121.58,121.58,121.58,0,0
^UX,D,19980507,000000,122.06,122.06,122.06,122.06,0,0
^UX,D,19980508,000000,124.05,124.05,124.05,124.05,0,0
^UX,D,19980511,000000,123.86,123.86,123.86,123.86,0,0
^UX,D,19980512,000000,124.01,124.01,124.01,124.01,0,0
^UX,D,19980513,000000,124.56,124.56,124.56,124.56,0,0
^UX,D,19980514,000000,121.94,121.94,121.94,121.94,0,0
^UX,D,19980515,000000,120.27,120.27,120.27,120.27,0,0
^UX,D,19980518,000000,118.28,118.28,118.28,118.28,0,0
