<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^XU100,D,19900102,000000,0.2312,0.2312,0.2312,0.2312,0,0
^XU100,D,19900103,000000,0.2425,0.2425,0.2425,0.2425,0,0
^XU100,D,19900104,000000,0.2468,0.2468,0.2468,0.2468,0,0
^XU100,D,19900105,000000,0.2454,0.2454,0.2454,0.2454,0,0
^XU100,D,19900108,000000,0.2543,0.2543,0.2543,0.2543,0,0
^XU100,D,19900109,000000,0.274,0.274,0.274,0.274,0,0
^XU100,D,19900110,000000,0.2909,0.2909,0.2909,0.2909,0,0
^XU100,D,19900111,000000,0.2821,0.2821,0.2821,0.2821,0,0
^XU100,D,19900112,000000,0.2975,0.2975,0.2975,0.2975,0,0
^XU100,D,19900115,000000,0.3131,0.3131,0.3131,0.3131,0,0
^XU100,D,19900116,000000,0.331,0.331,0.331,0.331,0,0
^XU100,D,19900117,000000,0.3309,0.3309,0.3309,0.3309,0,0
^XU100,D,19900118,000000,0.3261,0.3261,0.3261,0.3261,0,0
^XU100,D,19900119,000000,0.3394,0.3394,0.3394,0.3394,0,0
^XU100,D,19900122,000000,0.3599,0.3599,0.3599,0.3599,0,0
^XU100,D,19900123,000000,0.3771,0.3771,0.3771,0.3771,0,0
^XU100,D,19900124,000000,0.3811,0.3811,0.3811,0.3811,0,0
^XU100,D,19900125,000000,0.3595,0.3595,0.3595,0.3595,0,0
^XU100,D,19900126,000000,0.3294,0.3294,0.3294,0.3294,0,0
^XU100,D,19900129,000000,0.3362,0.3362,0.3362,0.3362,0,0
^XU100,D,19900130,000000,0.347,0.347,0.347,0.347,0,0
^XU100,D,19900131,000000,0.3641,0.3641,0.3641,0.3641,0,0
^XU100,D,19900201,000000,0.3762,0.3762,0.3762,0.3762,0,0
^XU100,D,19900202,000000,0.3856,0.3856,0.3856,0.3856,0,0
^XU100,D,19900205,000000,0.4026,0.4026,0.4026,0.4026,0,0
^XU100,D,19900206,000000,0.4079,0.4079,0.4079,0.4079,0,0
^XU100,D,19900207,000000,0.3998,0.3998,0.3998,0.3998,0,0
^XU100,D,19900208,000000,0.4086,0.4086,0.4086,0.4086,0,0
^XU100,D,19900209,000000,0.4194,0.4194,0.4194,0.4194,0,0
^XU100,D,19900212,000000,0.4125,0.4125,0.4125,0.4125,0,0
^XU100,D,19900213,000000,0.4046,0.4046,0.4046,0.4046,0,0
^XU100,D,19900214,000000,0.4039,0.4039,0.4039,0.4039,0,0
^XU100,D,19900215,000000,0.3984,0.3984,0.3984,0.3984,0,0
^XU100,D,19900216,000000,0.3926,0.3926,0.3926,0.3926,0,0
^XU100,D,19900219,000000,0.3797,0.3797,0.3797,0.3797,0,0
^XU100,D,19900220,000000,0.3619,0.3619,0.3619,0.3619,0,0
^XU100,D,19900221,000000,0.3709,0.3709,0.3709,0.3709,0,0
^XU100,D,19900222,000000,0.3624,0.3624,0.3624,0.3624,0,0
^XU100,D,19900223,000000,0.3389,0.3389,0.3389,0.3389,0,0
^XU100,D,19900226,000000,0.318,0.318,0.318,0.318,0,0
^XU100,D,19900227,000000,0.3247,0.3247,0.3247,0.3247,0,0
^XU100,D,19900228,000000,0.3516,0.3516,0.3516,0.3516,0,0
^XU100,D,19900301,000000,0.3749,0.3749,0.3749,0.3749,0,0
^XU100,D,19900302,000000,0.3761,0.3761,0.3761,0.3761,0,0
^XU100,D,19900305,000000,0.3484,0.3484,0.3484,0.3484,0,0
^XU100,D,19900306,000000,0.3379,0.3379,0.3379,0.3379,0,0
^XU100,D,19900307,000000,0.3408,0.3408,0.3408,0.3408,0,0
^XU100,D,19900308,000000,0.3286,0.3286,0.3286,0.3286,0,0
^XU100,D,19900309,000000,0.3414,0.3414,0.3414,0.3414,0,0
^XU100,D,19900312,000000,0.3483,0.3483,0.3483,0.3483,0,0
^XU100,D,19900313,000000,0.3461,0.3461,0.3461,0.3461,0,0
^XU100,D,19900314,000000,0.3439,0.3439,0.3439,0.3439,0,0
^XU100,D,19900315,000000,0.3422,0.3422,0.3422,0.3422,0,0
^XU100,D,19900316,000000,0.3409,0.3409,0.3409,0.3409,0,0
^XU100,D,19900319,000000,0.3474,0.3474,0.3474,0.3474,0,0
^XU100,D,19900320,000000,0.3542,0.3542,0.3542,0.3542,0,0
^XU100,D,19900321,000000,0.3583,0.3583,0.3583,0.3583,0,0
^XU100,D,19900322,000000,0.3632,0.3632,0.3632,0.3632,0,0
^XU100,D,19900323,000000,0.3569,0.3569,0.3569,0.3569,0,0
^XU100,D,19900326,000000,0.3547,0.3547,0.3547,0.3547,0,0
^XU100,D,19900327,000000,0.3587,0.3587,0.3587,0.3587,0,0
^XU100,D,19900328,000000,0.3555,0.3555,0.3555,0.3555,0,0
^XU100,D,19900329,000000,0.3337,0.3337,0.3337,0.3337,0,0
^XU100,D,19900330,000000,0.3294,0.3294,0.3294,0.3294,0,0
^XU100,D,19900402,000000,0.3427,0.3427,0.3427,0.3427,0,0
^XU100,D,19900403,000000,0.347,0.347,0.347,0.347,0,0
^XU100,D,19900404,000000,0.3376,0.3376,0.3376,0.3376,0,0
^XU100,D,19900405,000000,0.3326,0.3326,0.3326,0.3326,0,0
^XU100,D,19900406,000000,0.3352,0.3352,0.3352,0.3352,0,0
^XU100,D,19900409,000000,0.3354,0.3354,0.3354,0.3354,0,0
^XU100,D,19900410,000000,0.3343,0.3343,0.3343,0.3343,0,0
